"","'re"
"'ll",0.29
"'s",0.27
"sure",0.19
"make",0.18
"want",0.18
"looking",0.17
"even",0.16
"find",0.16
"get",0.16
"likely",0.16
"might",0.16
"try",0.16
"'ve",0.15
"ask",0.15
"pay",0.15
"always",0.14
"bit",0.14
"expensive",0.14
"good",0.14
"much",0.14
"need",0.14
"probably",0.14
"staying",0.14
"unless",0.14
"usually",0.14
"will",0.14
"'d",0.13
"better",0.13
"check",0.13
"expect",0.13
"getting",0.13
"going",0.13
"keep",0.13
"know",0.13
"like",0.13
"may",0.13
"something",0.13
"anything",0.12
"avoid",0.12
"coming",0.12
"go",0.12
"just",0.12
"least",0.12
"little",0.12
"money",0.12
"paying",0.12
"plenty",0.12
"pretty",0.12
"really",0.12
"sometimes",0.12
"wait",0.12
"although",0.11
"anywhere",0.11
"best",0.11
"buy",0.11
"cheaper",0.11
"consider",0.11
"driver",0.11
"drivers",0.11
"driving",0.11
"food",0.11
"friendly",0.11
"generally",0.11
"give",0.11
"hard",0.11
"look",0.11
"nice",0.11
"night",0.11
"note",0.11
"often",0.11
"price",0.11
"prices",0.11
"quite",0.11
"rather",0.11
"right",0.11
"see",0.11
"use",0.11
"willing",0.11
"without",0.11
"worth",0.11
"another",0.1
"bars",0.1
"bring",0.1
"budget",0.1
"cheap",0.1
"decent",0.1
"especially",0.1
"feel",0.1
"idea",0.1
"less",0.1
"locals",0.1
"lucky",0.1
"mind",0.1
"offer",0.1
"pick",0.1
"plan",0.1
"someone",0.1
"stay",0.1
"tend",0.1
"things",0.1
"way",0.1
"''''",0.09
"able",0.09
"almost",0.09
"around",0.09
"aware",0.09
"back",0.09
"can",0.09
"careful",0.09
"cause",0.09
"choose",0.09
"come",0.09
"definitely",0.09
"different",0.09
"dishes",0.09
"drink",0.09
"drinks",0.09
"either",0.09
"enough",0.09
"everything",0.09
"fairly",0.09
"far",0.09
"free",0.09
"fun",0.09
"gets",0.09
"great",0.09
"head",0.09
"help",0.09
"illegal",0.09
"interested",0.09
"leave",0.09
"leaving",0.09
"limited",0.09
"lot",0.09
"making",0.09
"menu",0.09
"next",0.09
"nightlife",0.09
"nothing",0.09
"ones",0.09
"option",0.09
"options",0.09
"order",0.09
"outside",0.09
"people",0.09
"place",0.09
"places",0.09
"prepared",0.09
"sell",0.09
"serious",0.09
"side",0.09
"smaller",0.09
"spend",0.09
"staff",0.09
"start",0.09
"still",0.09
"stop",0.09
"tasty",0.09
"think",0.09
"though",0.09
"time",0.09
"traffic",0.09
"trouble",0.09
"trying",0.09
"uncommon",0.09
"useful",0.09
"watch",0.09
"whatever",0.09
"accept",0.08
"advantage",0.08
"already",0.08
"arrive",0.08
"atmosphere",0.08
"beer",0.08
"book",0.08
"call",0.08
"card",0.08
"cards",0.08
"cash",0.08
"catch",0.08
"charge",0.08
"cheapest",0.08
"common",0.08
"compared",0.08
"cost",0.08
"costs",0.08
"couple",0.08
"crowded",0.08
"day",0.08
"depending",0.08
"despite",0.08
"difficult",0.08
"easy",0.08
"encounter",0.08
"every",0.08
"excellent",0.08
"exchange",0.08
"extra",0.08
"extremely",0.08
"fill",0.08
"finding",0.08
"given",0.08
"heading",0.08
"insist",0.08
"let",0.08
"longer",0.08
"lots",0.08
"low",0.08
"makes",0.08
"mood",0.08
"never",0.08
"open",0.08
"others",0.08
"otherwise",0.08
"paid",0.08
"passport",0.08
"possibly",0.08
"problem",0.08
"problems",0.08
"quality",0.08
"real",0.08
"reasonable",0.08
"reliable",0.08
"remember",0.08
"require",0.08
"ride",0.08
"safety",0.08
"seem",0.08
"serve",0.08
"set",0.08
"sign",0.08
"simple",0.08
"simply",0.08
"slightly",0.08
"slow",0.08
"sold",0.08
"stores",0.08
"stuck",0.08
"take",0.08
"taking",0.08
"tell",0.08
"tends",0.08
"thing",0.08
"tickets",0.08
"typically",0.08
"unlike",0.08
"usual",0.08
"visa",0.08
"wear",0.08
"work",0.08
"across",0.07
"actually",0.07
"advance",0.07
"alcohol",0.07
"allowed",0.07
"arrange",0.07
"asking",0.07
"bags",0.07
"basic",0.07
"behind",0.07
"big",0.07
"bike",0.07
"bikes",0.07
"buying",0.07
"carry",0.07
"case",0.07
"certain",0.07
"change",0.07
"clubs",0.07
"countries",0.07
"deal",0.07
"dutch",0.07
"else",0.07
"fee",0.07
"full",0.07
"grab",0.07
"hear",0.07
"highly",0.07
"instead",0.07
"internet",0.07
"large",0.07
"meat",0.07
"mostly",0.07
"music",0.07
"notice",0.07
"per",0.07
"planning",0.07
"possible",0.07
"rarely",0.07
"rental",0.07
"risk",0.07
"safe",0.07
"serves",0.07
"shops",0.07
"standard",0.07
"ticket",0.07
"trip",0.07
"unlikely",0.07
"valuables",0.07
"walk",0.07
"walking",0.07
"whether",0.07
