"","actually"
"even",0.11
"although",0.1
"bit",0.1
"might",0.1
"quite",0.1
"want",0.1
"without",0.1
"know",0.09
"little",0.09
"make",0.09
"may",0.09
"much",0.09
"pay",0.09
"rather",0.09
"sometimes",0.09
"''''",0.08
"'ll",0.08
"'s",0.08
"actual",0.08
"almost",0.08
"avoid",0.08
"better",0.08
"check",0.08
"common",0.08
"especially",0.08
"expensive",0.08
"fear",0.08
"find",0.08
"generally",0.08
"happened",0.08
"like",0.08
"look",0.08
"often",0.08
"police",0.08
"though",0.08
"try",0.08
"will",0.08
"'re",0.07
"always",0.07
"ask",0.07
"cheaper",0.07
"consider",0.07
"drivers",0.07
"fact",0.07
"far",0.07
"keep",0.07
"least",0.07
"likely",0.07
"money",0.07
"need",0.07
"never",0.07
"note",0.07
"possible",0.07
"relatively",0.07
"sure",0.07
"useful",0.07
