"","air-con"
"baht",0.39
"fan",0.33
"bangkok",0.27
"thai",0.25
"motorbike",0.19
"ban",0.18
"thailand",0.18
"guesthouse",0.16
"motorbikes",0.15
"pagoda",0.15
"buddha",0.14
"vip",0.14
"bungalows",0.13
"rooms",0.13
"clean",0.12
"hong",0.12
"massage",0.12
"si",0.12
"staff",0.12
"wi-fi",0.12
"mid-range",0.11
"room",0.11
"bungalow",0.1
"double",0.1
"hr",0.1
"min",0.1
"price",0.1
"tribe",0.1
"tv",0.1
"friendly",0.09
"insist",0.09
"lotus",0.09
"motorcycle",0.09
"son",0.09
"stalls",0.09
"terminal",0.09
"bamboo",0.08
"cable",0.08
"charge",0.08
"cost",0.08
"dong",0.08
"drivers",0.08
"mosquito",0.08
"opposite",0.08
"pick-",0.08
"rd",0.08
"shared",0.08
"tourists",0.08
"touts",0.08
"basic",0.07
"budget",0.07
"cheaper",0.07
"costs",0.07
"hat",0.07
"malaysian",0.07
"minibus",0.07
"money",0.07
"padi",0.07
"standard",0.07
"tropical",0.07
