"","alcohol"
"sales",0.18
"laws",0.14
"drink",0.13
"drinking",0.13
"liquor",0.13
"prohibited",0.13
"allowed",0.12
"generally",0.12
"illegal",0.12
"law",0.12
"legal",0.12
"arabic",0.11
"countries",0.11
"sell",0.11
"sold",0.11
"tend",0.11
"widely",0.11
"apply",0.1
"avoid",0.1
"aware",0.1
"buy",0.1
"common",0.1
"currency",0.1
"may",0.1
"purchase",0.1
"usually",0.1
"visa",0.1
"women",0.1
"alcoholic",0.09
"always",0.09
"applies",0.09
"arab",0.09
"beer",0.09
"bottle",0.09
"bottled",0.09
"cards",0.09
"certain",0.09
"code",0.09
"drinks",0.09
"drugs",0.09
"especially",0.09
"even",0.09
"expect",0.09
"keep",0.09
"least",0.09
"liberal",0.09
"must",0.09
"neighbor",0.09
"normally",0.09
"note",0.09
"often",0.09
"passport",0.09
"pay",0.09
"people",0.09
"police",0.09
"prepaid",0.09
"prices",0.09
"rarely",0.09
"requires",0.09
"respect",0.09
"signage",0.09
"sim",0.09
"similar",0.09
"tipping",0.09
"unless",0.09
"wear",0.09
"without",0.09
"accept",0.08
"allow",0.08
"allows",0.08
"available",0.08
"banned",0.08
"bottles",0.08
"brands",0.08
"bring",0.08
"card",0.08
"carry",0.08
"cheap",0.08
"cheaper",0.08
"citizens",0.08
"discuss",0.08
"dress",0.08
"drivers",0.08
"driving",0.08
"drunk",0.08
"dry",0.08
"embassy",0.08
"ensure",0.08
"exception",0.08
"expensive",0.08
"foreign",0.08
"government",0.08
"hard",0.08
"islamic",0.08
"larger",0.08
"license",0.08
"like",0.08
"might",0.08
"money",0.08
"much",0.08
"numbers",0.08
"obtain",0.08
"package",0.08
"passports",0.08
"require",0.08
"security",0.08
"serious",0.08
"serve",0.08
"standard",0.08
"strong",0.08
"tax",0.08
"use",0.08
"vary",0.08
"visas",0.08
"'re",0.07
"almost",0.07
"areas",0.07
"ask",0.07
"asking",0.07
"beverage",0.07
"cases",0.07
"dial",0.07
"difficult",0.07
"dish",0.07
"due",0.07
"expected",0.07
"find",0.07
"food",0.07
"language",0.07
"legally",0.07
"mind",0.07
"need",0.07
"offer",0.07
"official",0.07
"possession",0.07
"quite",0.07
"required",0.07
"risk",0.07
"rude",0.07
"rules",0.07
"safe",0.07
"sale",0.07
"sometimes",0.07
"telephone",0.07
"though",0.07
"will",0.07
