"","although"
"even",0.16
"may",0.16
"much",0.16
"often",0.16
"generally",0.15
"still",0.15
"usually",0.15
"expect",0.14
"less",0.14
"number",0.14
"tend",0.14
"avoid",0.13
"common",0.13
"english",0.13
"especially",0.13
"expensive",0.13
"make",0.13
"pay",0.13
"sometimes",0.13
"will",0.13
"always",0.12
"despite",0.12
"quite",0.12
"rarely",0.12
"rather",0.12
"relatively",0.12
"visa",0.12
"widely",0.12
"without",0.12
"'re",0.11
"'s",0.11
"almost",0.11
"around",0.11
"better",0.11
"certain",0.11
"cheaper",0.11
"cost",0.11
"countries",0.11
"drivers",0.11
"due",0.11
"extremely",0.11
"far",0.11
"keep",0.11
"language",0.11
"least",0.11
"likely",0.11
"locals",0.11
"might",0.11
"mostly",0.11
"note",0.11
"parts",0.11
"prices",0.11
"probably",0.11
"recent",0.11
"risk",0.11
"since",0.11
"smaller",0.11
"sure",0.11
"travel",0.11
"visas",0.11
"well",0.11
"'ll",0.1
"accept",0.1
"actually",0.1
"another",0.1
"apply",0.1
"areas",0.1
"aware",0.1
"bars",0.1
"cards",0.1
"citizens",0.1
"crime",0.1
"currency",0.1
"driver",0.1
"fact",0.1
"find",0.1
"foreign",0.1
"good",0.1
"higher",0.1
"highly",0.1
"larger",0.1
"little",0.1
"money",0.1
"need",0.1
"never",0.1
"offer",0.1
"official",0.1
"operate",0.1
"passport",0.1
"people",0.1
"police",0.1
"possible",0.1
"require",0.1
"safe",0.1
"seem",0.1
"slightly",0.1
"time",0.1
"tourists",0.1
"traffic",0.1
"typically",0.1
"use",0.1
"want",0.1
"worth",0.1
"able",0.09
"amount",0.09
"ask",0.09
"bit",0.09
"card",0.09
"careful",0.09
"cheap",0.09
"check",0.09
"consider",0.09
"difficult",0.09
"driving",0.09
"either",0.09
"enough",0.09
"enter",0.09
"european",0.09
"exchange",0.09
"fairly",0.09
"found",0.09
"get",0.09
"hard",0.09
"however",0.09
"idea",0.09
"including",0.09
"instead",0.09
"know",0.09
"large",0.09
"like",0.09
"limited",0.09
"long",0.09
"longer",0.09
"low",0.09
"many",0.09
"must",0.09
"now",0.09
"option",0.09
"outside",0.09
"perhaps",0.09
"places",0.09
"political",0.09
"poor",0.09
"popular",0.09
"price",0.09
"problems",0.09
"quality",0.09
"range",0.09
"rate",0.09
"roads",0.09
"serious",0.09
"served",0.09
"several",0.09
"similar",0.09
"simply",0.09
"somewhat",0.09
"speak",0.09
"strong",0.09
"taking",0.09
"tends",0.09
"throughout",0.09
"try",0.09
"used",0.09
"using",0.09
"usual",0.09
"visitors",0.09
"way",0.09
"work",0.09
"accepted",0.08
"advance",0.08
"allow",0.08
"also",0.08
"avoided",0.08
"best",0.08
"beware",0.08
"buy",0.08
"buying",0.08
"calling",0.08
"carry",0.08
"caution",0.08
"certainly",0.08
"change",0.08
"cheapest",0.08
"close",0.08
"clubs",0.08
"companies",0.08
"compared",0.08
"considered",0.08
"costs",0.08
"credit",0.08
"deal",0.08
"depending",0.08
"drink",0.08
"drinking",0.08
"elsewhere",0.08
"embassy",0.08
"end",0.08
"eu",0.08
"excellent",0.08
"exception",0.08
"extra",0.08
"feel",0.08
"flights",0.08
"foreigners",0.08
"frequently",0.08
"getting",0.08
"give",0.08
"given",0.08
"help",0.08
"high",0.08
"illegal",0.08
"insurance",0.08
"journey",0.08
"lack",0.08
"languages",0.08
"leave",0.08
"look",0.08
"mainly",0.08
"majority",0.08
"making",0.08
"mean",0.08
"means",0.08
"mind",0.08
"mobile",0.08
"network",0.08
"night",0.08
"numbers",0.08
"order",0.08
"others",0.08
"part",0.08
"passengers",0.08
"paying",0.08
"plan",0.08
"possibly",0.08
"prepared",0.08
"problem",0.08
"purchase",0.08
"recently",0.08
"regions",0.08
"remain",0.08
"remember",0.08
"rest",0.08
"rule",0.08
"run",0.08
"sell",0.08
"serve",0.08
"short",0.08
"sim",0.08
"situation",0.08
"something",0.08
"speakers",0.08
"speaking",0.08
"spoken",0.08
"staff",0.08
"standard",0.08
"streets",0.08
"taxis",0.08
"therefore",0.08
"tickets",0.08
"times",0.08
"tourist",0.08
"travellers",0.08
"travelling",0.08
"trying",0.08
"unless",0.08
"unlike",0.08
"unlikely",0.08
"violent",0.08
"virtually",0.08
"whether",0.08
"''''",0.07
"across",0.07
"allowed",0.07
"anyone",0.07
"anywhere",0.07
"arrive",0.07
"become",0.07
"bottled",0.07
"can",0.07
"cash",0.07
"charge",0.07
"cities",0.07
"country's",0.07
"cover",0.07
"culture",0.07
"dangerous",0.07
"definitely",0.07
"distinct",0.07
"done",0.07
"easier",0.07
"entry",0.07
"ever",0.07
"expected",0.07
"fare",0.07
"fares",0.07
"government",0.07
"heavy",0.07
"include",0.07
"issues",0.07
"just",0.07
"largely",0.07
"laws",0.07
"legal",0.07
"major",0.07
"makes",0.07
"normal",0.07
"normally",0.07
"obtain",0.07
"occasional",0.07
"planning",0.07
"prepaid",0.07
"pubs",0.07
"required",0.07
"respect",0.07
"return",0.07
"security",0.07
"see",0.07
"set",0.07
"shops",0.07
"sold",0.07
"someone",0.07
"stay",0.07
"tipping",0.07
"two",0.07
"ubiquitous",0.07
"uk",0.07
"useful",0.07
"valid",0.07
"violence",0.07
"visiting",0.07
"wait",0.07
"wear",0.07
