"","ambulance"
"emergency",0.35
"networks",0.21
"reception",0.21
"coverage",0.2
"effect",0.19
"seek",0.17
"calling",0.16
"telephone",0.16
"distant",0.15
"operator",0.15
"normally",0.14
"police",0.14
"calls",0.13
"network",0.13
"hospital",0.12
"medical",0.12
"fire",0.11
"hilly",0.11
"placed",0.11
"sa",0.11
"accident",0.1
"generally",0.1
"services",0.1
"terrain",0.1
"areas",0.09
"charge",0.09
"gsm",0.09
"higher",0.09
"mobile",0.09
"operators",0.09
"phones",0.09
"poor",0.09
"assistance",0.08
"avoiding",0.08
"call",0.08
"clinic",0.08
"connect",0.08
"favourite",0.08
"insurance",0.08
"larger",0.08
"provide",0.08
"require",0.08
"sim",0.08
"tipping",0.08
"towers",0.08
"available",0.07
"charter",0.07
"dial",0.07
"either",0.07
"especially",0.07
"highways",0.07
"hospitals",0.07
"respect",0.07
"specialist",0.07
"without",0.07
