"","areas"
"common",0.17
"generally",0.17
"area",0.16
"crime",0.16
"avoid",0.15
"especially",0.15
"major",0.15
"often",0.15
"even",0.14
"many",0.14
"urban",0.14
"emergency",0.13
"much",0.13
"offer",0.13
"rural",0.13
"safe",0.13
"access",0.12
"always",0.12
"certain",0.12
"driving",0.12
"keep",0.12
"large",0.12
"larger",0.12
"largest",0.12
"like",0.12
"may",0.12
"northern",0.12
"parts",0.12
"regions",0.12
"routes",0.12
"suburbs",0.12
"throughout",0.12
"travel",0.12
"usually",0.12
"violent",0.12
"aware",0.11
"cities",0.11
"considered",0.11
"higher",0.11
"include",0.11
"including",0.11
"network",0.11
"parks",0.11
"popular",0.11
"smaller",0.11
"sometimes",0.11
"system",0.11
"traffic",0.11
"united",0.11
"use",0.11
"without",0.11
"actively",0.1
"although",0.1
"avoided",0.1
"central",0.1
"countries",0.1
"coverage",0.1
"dangerous",0.1
"different",0.1
"diverse",0.1
"due",0.1
"extremely",0.1
"fares",0.1
"found",0.1
"heavily",0.1
"heavy",0.1
"home",0.1
"language",0.1
"likely",0.1
"locations",0.1
"provide",0.1
"rate",0.1
"risk",0.1
"safety",0.1
"services",0.1
"shopping",0.1
"similar",0.1
"southern",0.1
"spoken",0.1
"states",0.1
"strong",0.1
"tend",0.1
"though",0.1
"uncommon",0.1
"vast",0.1
"well",0.1
"widely",0.1
"within",0.1
"almost",0.09
"ambulance",0.09
"american",0.09
"call",0.09
"careful",0.09
"carry",0.09
"caution",0.09
"commonly",0.09
"compared",0.09
"designated",0.09
"drivers",0.09
"eastern",0.09
"expect",0.09
"find",0.09
"foreign",0.09
"highways",0.09
"includes",0.09
"land",0.09
"laws",0.09
"less",0.09
"list",0.09
"majority",0.09
"make",0.09
"million",0.09
"national",0.09
"natural",0.09
"normally",0.09
"offers",0.09
"official",0.09
"others",0.09
"police",0.09
"politics",0.09
"populated",0.09
"public",0.09
"recent",0.09
"relatively",0.09
"remote",0.09
"require",0.09
"rest",0.09
"roads",0.09
"seek",0.09
"service",0.09
"several",0.09
"still",0.09
"sure",0.09
"terrain",0.09
"towns",0.09
"traveling",0.09
"unless",0.09
"variety",0.09
"visitors",0.09
"wide",0.09
"airports",0.08
"among",0.08
"amount",0.08
"apply",0.08
"attention",0.08
"available",0.08
"bars",0.08
"based",0.08
"become",0.08
"best",0.08
"card",0.08
"cars",0.08
"case",0.08
"check",0.08
"citizens",0.08
"companies",0.08
"congestion",0.08
"country",0.08
"crossings",0.08
"culture",0.08
"currency",0.08
"densely",0.08
"developed",0.08
"dialect",0.08
"dialects",0.08
"difficult",0.08
"distinct",0.08
"drinking",0.08
"economic",0.08
"effect",0.08
"embassy",0.08
"ethnic",0.08
"exception",0.08
"exceptions",0.08
"experience",0.08
"government",0.08
"groups",0.08
"high",0.08
"highest",0.08
"however",0.08
"illegal",0.08
"industry",0.08
"insurance",0.08
"issue",0.08
"issues",0.08
"know",0.08
"known",0.08
"languages",0.08
"largely",0.08
"least",0.08
"legal",0.08
"long",0.08
"lower",0.08
"making",0.08
"maps",0.08
"mind",0.08
"mostly",0.08
"must",0.08
"native",0.08
"nearly",0.08
"neighbor",0.08
"networks",0.08
"never",0.08
"new",0.08
"number",0.08
"occur",0.08
"offices",0.08
"outside",0.08
"parking",0.08
"part",0.08
"plan",0.08
"political",0.08
"problem",0.08
"quite",0.08
"range",0.08
"rarely",0.08
"regional",0.08
"required",0.08
"security",0.08
"sense",0.08
"serious",0.08
"served",0.08
"stores",0.08
"suburban",0.08
"terms",0.08
"theft",0.08
"trails",0.08
"typically",0.08
"university",0.08
"unlike",0.08
"various",0.08
"weather",0.08
"widespread",0.08
"wilderness",0.08
"world's",0.08
"york",0.08
"able",0.07
"accident",0.07
"alcohol",0.07
"allow",0.07
"along",0.07
"another",0.07
"becoming",0.07
"care",0.07
"cause",0.07
"chain",0.07
"clubs",0.07
"conditions",0.07
"congested",0.07
"cultural",0.07
"distances",0.07
"elsewhere",0.07
"english",0.07
"except",0.07
"exchange",0.07
"expanding",0.07
"expensive",0.07
"far",0.07
"general",0.07
"getting",0.07
"greater",0.07
"growing",0.07
"help",0.07
"influence",0.07
"instead",0.07
"law",0.07
"league",0.07
"limited",0.07
"locals",0.07
"low",0.07
"means",0.07
"medical",0.07
"might",0.07
"mix",0.07
"months",0.07
"mountains",0.07
"note",0.07
"outlying",0.07
"park",0.07
"particular",0.07
"paying",0.07
"people",0.07
"points",0.07
"problems",0.07
"reception",0.07
"region",0.07
"remain",0.07
"reputation",0.07
"respect",0.07
"retail",0.07
"rewarding",0.07
"rules",0.07
"separate",0.07
"sites",0.07
"snow",0.07
"speak",0.07
"speakers",0.07
"speed",0.07
"tends",0.07
"three",0.07
"tourists",0.07
"transit",0.07
"unlikely",0.07
"used",0.07
"venues",0.07
"visa",0.07
"western",0.07
"will",0.07
"winter",0.07
"yellow",0.07
