"","armed"
"consult",0.25
"guard",0.21
"strongly",0.2
"security",0.18
"''''''",0.17
"forces",0.17
"government",0.16
"situation",0.16
"advised",0.15
"dangerous",0.15
"warning",0.14
"travelling",0.13
"attacks",0.12
"earth",0.12
"aid",0.11
"embassies",0.11
"invasion",0.11
"islamic",0.11
"embassy",0.1
"otherwise",0.1
"personnel",0.1
"countries",0.09
"groups",0.09
"guards",0.09
"military",0.09
"remains",0.09
"safe",0.09
"visas",0.09
"business",0.08
"citizens",0.08
"conflict",0.08
"mosque",0.08
"police",0.08
"un",0.08
"violence",0.08
"visa",0.08
"ali",0.07
"control",0.07
"even",0.07
"foreigners",0.07
"officials",0.07
