"","around"
"get",0.25
"can",0.2
"cost",0.17
"walk",0.17
"will",0.17
"also",0.15
"bus",0.14
"good",0.14
"see",0.14
"take",0.14
"taxi",0.14
"way",0.14
"ask",0.13
"buy",0.13
"getting",0.13
"go",0.13
"prices",0.13
"want",0.13
"best",0.12
"buses",0.12
"cheap",0.12
"costs",0.12
"find",0.12
"leave",0.12
"many",0.12
"price",0.12
"quite",0.12
"takes",0.12
"taxis",0.12
"trip",0.12
"try",0.12
"usually",0.12
"although",0.11
"every",0.11
"expect",0.11
"hotels",0.11
"make",0.11
"night",0.11
"one",0.11
"pay",0.11
"people",0.11
"per",0.11
"place",0.11
"places",0.11
"shops",0.11
"time",0.11
"walking",0.11
"'s",0.1
"available",0.1
"bit",0.1
"day",0.1
"drink",0.1
"especially",0.1
"even",0.1
"expensive",0.1
"food",0.1
"found",0.1
"hours",0.1
"just",0.1
"like",0.1
"may",0.1
"might",0.1
"much",0.1
"next",0.1
"nice",0.1
"number",0.1
"possible",0.1
"ride",0.1
"tourist",0.1
"transport",0.1
"visit",0.1
"'re",0.09
"always",0.09
"another",0.09
"avoid",0.09
"back",0.09
"bars",0.09
"better",0.09
"centre",0.09
"cheaper",0.09
"clean",0.09
"depending",0.09
"drinks",0.09
"driver",0.09
"easily",0.09
"easy",0.09
"eat",0.09
"hire",0.09
"hour",0.09
"little",0.09
"local",0.09
"look",0.09
"need",0.09
"option",0.09
"plenty",0.09
"selling",0.09
"several",0.09
"small",0.09
"start",0.09
"stay",0.09
"still",0.09
"ticket",0.09
"travel",0.09
"well",0.09
"whole",0.09
"worth",0.09
"'ll",0.08
"anywhere",0.08
"arrange",0.08
"away",0.08
"beer",0.08
"book",0.08
"budget",0.08
"cheapest",0.08
"close",0.08
"couple",0.08
"drivers",0.08
"english",0.08
"enough",0.08
"give",0.08
"going",0.08
"guide",0.08
"hard",0.08
"however",0.08
"journey",0.08
"leaves",0.08
"leaving",0.08
"less",0.08
"locals",0.08
"morning",0.08
"note",0.08
"offer",0.08
"often",0.08
"opposite",0.08
"outside",0.08
"pretty",0.08
"really",0.08
"rooms",0.08
"run",0.08
"sell",0.08
"services",0.08
"shared",0.08
"spend",0.08
"stalls",0.08
"sure",0.08
"two",0.08
"use",0.08
"various",0.08
"without",0.08
"able",0.07
"almost",0.07
"charge",0.07
"come",0.07
"companies",0.07
"different",0.07
"direct",0.07
"either",0.07
"far",0.07
"feel",0.07
"generally",0.07
"gets",0.07
"know",0.07
"looking",0.07
"lot",0.07
"market",0.07
"minutes",0.07
"money",0.07
"operators",0.07
"person",0.07
"probably",0.07
"range",0.07
"rather",0.07
"rent",0.07
"side",0.07
"slightly",0.07
"sometimes",0.07
"station",0.07
"though",0.07
"tourists",0.07
"train",0.07
"view",0.07
