"","arriving"
"departing",0.13
"leaving",0.13
"luggage",0.11
"passengers",0.11
"arrive",0.1
"pay",0.1
"arrives",0.09
"return",0.09
"cost",0.08
"costs",0.08
"currency",0.08
"depart",0.08
"departs",0.08
"driver",0.08
"leave",0.08
"leaves",0.08
"note",0.08
"possible",0.08
"prices",0.08
"time",0.08
"visa",0.08
"will",0.08
"without",0.08
"agencies",0.07
"ask",0.07
"bus",0.07
"buses",0.07
"catamaran",0.07
"daily",0.07
"delays",0.07
"ferries",0.07
"ferry",0.07
"journey",0.07
"queue",0.07
"taxi",0.07
"ticket",0.07
