"","assume"
"exceed",0.11
"illegal",0.1
"legal",0.1
"never",0.1
"payment",0.1
"tipping",0.1
"citizens",0.09
"countries",0.09
"drugs",0.09
"insurance",0.09
"limit",0.09
"names",0.09
"speed",0.09
"visa",0.09
"visas",0.09
"''''",0.08
"atms",0.08
"attempting",0.08
"avoid",0.08
"bare",0.08
"cards",0.08
"case",0.08
"common",0.08
"criminal",0.08
"drivers",0.08
"extent",0.08
"fixed",0.08
"flagship",0.08
"know",0.08
"matter",0.08
"might",0.08
"money",0.08
"passport",0.08
"possession",0.08
"prepaid",0.08
"refuse",0.08
"regarding",0.08
"say",0.08
"sim",0.08
"able",0.07
"accept",0.07
"accepted",0.07
"asking",0.07
"aware",0.07
"card",0.07
"certain",0.07
"consider",0.07
"credit",0.07
"currency",0.07
"driver's",0.07
"embassy",0.07
"foreign",0.07
"generally",0.07
"issued",0.07
"notes",0.07
"obtain",0.07
"paying",0.07
"phones",0.07
"police",0.07
"risk",0.07
"safe",0.07
"salty",0.07
"someone",0.07
"sometimes",0.07
"tend",0.07
