"","atms"
"accept",0.28
"cash",0.24
"cards",0.22
"exchange",0.2
"money",0.2
"atm",0.19
"credit",0.19
"currency",0.19
"visa",0.19
"foreign",0.17
"sim",0.16
"visas",0.16
"accepted",0.15
"card",0.15
"passport",0.15
"embassy",0.14
"avoid",0.13
"charge",0.13
"countries",0.13
"driver",0.13
"pay",0.13
"paying",0.13
"police",0.13
"prices",0.13
"tipping",0.13
"banks",0.12
"bills",0.12
"cost",0.12
"debit",0.12
"dollars",0.12
"generally",0.12
"notes",0.12
"rate",0.12
"ask",0.11
"bank",0.11
"cheaper",0.11
"drivers",0.11
"illegal",0.11
"internet",0.11
"mobile",0.11
"prepaid",0.11
"price",0.11
"sometimes",0.11
"always",0.1
"apply",0.1
"aware",0.1
"cheap",0.1
"commission",0.1
"consulate",0.1
"costs",0.1
"expensive",0.1
"foreigners",0.1
"give",0.1
"gsm",0.1
"issued",0.1
"keep",0.1
"know",0.1
"may",0.1
"obtain",0.1
"official",0.1
"political",0.1
"rarely",0.1
"rates",0.1
"sure",0.1
"usually",0.1
"airline",0.09
"almost",0.09
"arrival",0.09
"better",0.09
"budget",0.09
"buying",0.09
"calls",0.09
"carry",0.09
"change",0.09
"cheapest",0.09
"coins",0.09
"common",0.09
"departure",0.09
"depending",0.09
"especially",0.09
"even",0.09
"expect",0.09
"fee",0.09
"idea",0.09
"insurance",0.09
"least",0.09
"leave",0.09
"make",0.09
"might",0.09
"offices",0.09
"often",0.09
"payment",0.09
"per",0.09
"person",0.09
"problem",0.09
"refuse",0.09
"require",0.09
"safe",0.09
"someone",0.09
"try",0.09
"unless",0.09
"valid",0.09
"able",0.08
"airlines",0.08
"amount",0.08
"anything",0.08
"anywhere",0.08
"asked",0.08
"asking",0.08
"assume",0.08
"bags",0.08
"basic",0.08
"beware",0.08
"bottled",0.08
"buy",0.08
"careful",0.08
"case",0.08
"citizens",0.08
"clean",0.08
"coverage",0.08
"customs",0.08
"difference",0.08
"english",0.08
"entering",0.08
"expected",0.08
"fees",0.08
"fixed",0.08
"hard",0.08
"help",0.08
"hotels",0.08
"inflated",0.08
"insist",0.08
"instead",0.08
"issue",0.08
"less",0.08
"likely",0.08
"longer",0.08
"luggage",0.08
"minibuses",0.08
"nationals",0.08
"need",0.08
"night",0.08
"note",0.08
"numbers",0.08
"office",0.08
"paid",0.08
"phones",0.08
"plastic",0.08
"possible",0.08
"receive",0.08
"regardless",0.08
"required",0.08
"risk",0.08
"say",0.08
"security",0.08
"sell",0.08
"similar",0.08
"situation",0.08
"standard",0.08
"stay",0.08
"tax",0.08
"taxi",0.08
"taxis",0.08
"tend",0.08
"tickets",0.08
"tourists",0.08
"touts",0.08
"trip",0.08
"typically",0.08
"use",0.08
"vendors",0.08
"widely",0.08
"wifi",0.08
"without",0.08
"women",0.08
"work",0.08
"'''public",0.07
"allow",0.07
"amounts",0.07
"bit",0.07
"book",0.07
"booking",0.07
"bring",0.07
"cases",0.07
"charges",0.07
"check",0.07
"compared",0.07
"conductor",0.07
"consider",0.07
"deal",0.07
"departing",0.07
"driver's",0.07
"eu",0.07
"european",0.07
"extra",0.07
"extremely",0.07
"fill",0.07
"find",0.07
"government",0.07
"higher",0.07
"highly",0.07
"hospitals",0.07
"ignore",0.07
"introduced",0.07
"legal",0.07
"let",0.07
"little",0.07
"locals",0.07
"mean",0.07
"means",0.07
"mind",0.07
"mosquito",0.07
"motorbike",0.07
"operators",0.07
"poorly",0.07
"prepared",0.07
"remember",0.07
"requires",0.07
"roaming",0.07
"rooms",0.07
"seem",0.07
"side",0.07
"simply",0.07
"travellers",0.07
"upon",0.07
"using",0.07
"wallet",0.07
"want",0.07
"wi-fi",0.07
"will",0.07
