"","attempt"
"avoid",0.1
"citizens",0.09
"often",0.09
"rarely",0.09
"attempting",0.08
"exchange",0.08
"generally",0.08
"higher",0.08
"lengthy",0.08
"may",0.08
"nations",0.08
"political",0.08
"poorly",0.08
"report",0.08
"respect",0.08
"risk",0.08
"security",0.08
"sometimes",0.08
"unless",0.08
"visa",0.08
"without",0.08
"asking",0.07
"common",0.07
"countries",0.07
"currency",0.07
"driver",0.07
"embassy",0.07
"forces",0.07
"least",0.07
"mind",0.07
"money",0.07
"obtain",0.07
"official",0.07
"passport",0.07
"pay",0.07
"prevent",0.07
"try",0.07
"wearing",0.07
"words",0.07
