"","ave"
"avenue",0.34
"st",0.31
"inn",0.3
"blvd",0.25
"dr",0.25
"rd",0.22
"downtown",0.21
"phone",0.21
"f-sa",0.19
"grill",0.18
"mexican",0.18
"motel",0.18
"interstate",0.17
"su",0.17
"suites",0.17
"hwy",0.16
"nw",0.16
"restaurant",0.16
"steakhouse",0.16
"american",0.15
"center",0.15
"diner",0.15
"mall",0.15
"sa",0.15
"sw",0.15
"bar",0.14
"highway",0.14
"miles",0.14
"ne",0.14
"pizza",0.14
"angeles",0.13
"cafe",0.13
"chicago",0.13
"county",0.13
"deli",0.13
"park",0.13
"se",0.13
"theater",0.13
"transit",0.13
"us",0.13
"arts",0.12
"bistro",0.12
"broadway",0.12
"college",0.12
"east",0.12
"exit",0.12
"free",0.12
"house",0.12
"library",0.12
"lounge",0.12
"outdoor",0.12
"railroad",0.12
"street",0.12
"symphony",0.12
"west",0.12
"amtrak",0.11
"burgers",0.11
"campus",0.11
"convention",0.11
"dining",0.11
"features",0.11
"featuring",0.11
"historic",0.11
"ln",0.11
"movie",0.11
"state",0.11
"tavern",0.11
"upscale",0.11
"washington",0.11
"baseball",0.1
"casual",0.1
"community",0.1
"fitness",0.1
"indoor",0.1
"lincoln",0.1
"live",0.1
"orchestra",0.1
"patio",0.1
"plaza",0.1
"sandwiches",0.1
"steak",0.1
"store",0.1
"sushi",0.1
"taco",0.1
"york",0.1
"av",0.09
"bbq",0.09
"boulevard",0.09
"breakfast",0.09
"california",0.09
"chain",0.09
"commerce",0.09
"depot",0.09
"events",0.09
"favorite",0.09
"fun",0.09
"golf",0.09
"grille",0.09
"italian",0.09
"lunch",0.09
"m-th",0.09
"marriott",0.09
"north",0.09
"parkway",0.09
"performing",0.09
"pets",0.09
"pkwy",0.09
"rv",0.09
"saloon",0.09
"seniors",0.09
"skating",0.09
"sports",0.09
"ste",0.09
"theatre",0.09
"united",0.09
"university",0.09
"wireless",0.09
"america",0.08
"anchored",0.08
"antique",0.08
"basketball",0.08
"bed",0.08
"block",0.08
"blocks",0.08
"boardwalk",0.08
"brewing",0.08
"burger",0.08
"chamber",0.08
"children",0.08
"classic",0.08
"club",0.08
"creek",0.08
"family",0.08
"florida",0.08
"freeway",0.08
"gift",0.08
"gourmet",0.08
"loop",0.08
"m-f",0.08
"menu",0.08
"museum",0.08
"music",0.08
"parking",0.08
"picnic",0.08
"programs",0.08
"pub",0.08
"ranch",0.08
"rapids",0.08
"rodeo",0.08
"saturday",0.08
"seating",0.08
"selection",0.08
"service",0.08
"south",0.08
"specials",0.08
"specialty",0.08
"trolley",0.08
"acres",0.07
"ball",0.07
"brunch",0.07
"coffee",0.07
"corner",0.07
"decor",0.07
"eclectic",0.07
"fries",0.07
"games",0.07
"hilton",0.07
"labor",0.07
"league",0.07
"listing",0.07
"m-sa",0.07
"memorial",0.07
"metro",0.07
"mi",0.07
"mile",0.07
"municipal",0.07
"offers",0.07
"recreation",0.07
"register",0.07
"retail",0.07
"sa-su",0.07
"shop",0.07
"shopping",0.07
"skate",0.07
"variety",0.07
"wings",0.07
