"","avenue"
"ave",0.34
"street",0.23
"inn",0.22
"phone",0.22
"downtown",0.21
"boulevard",0.17
"mall",0.15
"transit",0.15
"suites",0.14
"arts",0.13
"blvd",0.13
"features",0.13
"grill",0.13
"interstate",0.13
"pizza",0.13
"restaurant",0.13
"american",0.12
"college",0.12
"convention",0.12
"fitness",0.12
"mexican",0.12
"park",0.12
"steakhouse",0.12
"west",0.12
"bar",0.11
"center",0.11
"diner",0.11
"dining",0.11
"east",0.11
"featuring",0.11
"st",0.11
"steak",0.11
"sushi",0.11
"theater",0.11
"art",0.1
"av",0.1
"baseball",0.1
"boardwalk",0.1
"broadway",0.1
"business",0.1
"classic",0.1
"deli",0.1
"drive",0.1
"favorite",0.1
"greyhound",0.1
"indoor",0.1
"italian",0.1
"lounge",0.1
"miles",0.1
"motel",0.1
"railroad",0.1
"service",0.1
"upscale",0.1
"washington",0.1
"york",0.1
"angeles",0.09
"authority",0.09
"burgers",0.09
"campus",0.09
"county",0.09
"exit",0.09
"free",0.09
"freeway",0.09
"historic",0.09
"jersey",0.09
"league",0.09
"live",0.09
"marriott",0.09
"menu",0.09
"metro",0.09
"north",0.09
"orange",0.09
"outdoor",0.09
"parkway",0.09
"plaza",0.09
"saturday",0.09
"shopping",0.09
"stores",0.09
"theatre",0.09
"university",0.09
"america",0.08
"amtrak",0.08
"avenues",0.08
"basketball",0.08
"block",0.08
"blocks",0.08
"cafe",0.08
"california",0.08
"children's",0.08
"commercial",0.08
"community",0.08
"corner",0.08
"cream",0.08
"dr",0.08
"drag",0.08
"golf",0.08
"house",0.08
"library",0.08
"mile",0.08
"movie",0.08
"music",0.08
"new",0.08
"parking",0.08
"patio",0.08
"rue",0.08
"sandwiches",0.08
"south",0.08
"sports",0.08
"state",0.08
"united",0.08
"antiques",0.07
"beers",0.07
"bistro",0.07
"breakfast",0.07
"brewing",0.07
"chicago",0.07
"club",0.07
"corporate",0.07
"court",0.07
"florida",0.07
"fourth",0.07
"games",0.07
"grove",0.07
"hockey",0.07
"home",0.07
"johnson",0.07
"located",0.07
"lunch",0.07
"monday",0.07
"pizzeria",0.07
"seniors",0.07
"serves",0.07
"specials",0.07
"specialty",0.07
"su",0.07
"suite",0.07
"walnut",0.07
"wireless",0.07
