"","average"
"rainfall",0.17
"climate",0.16
"humidity",0.12
"annual",0.1
"degrees",0.1
"janhigh",0.1
"maximum",0.1
"maylow",0.1
"usually",0.1
"aprhigh",0.09
"aprlow",0.09
"aprprecip",0.09
"aughigh",0.09
"auglow",0.09
"common",0.09
"countries",0.09
"days",0.09
"dechigh",0.09
"declow",0.09
"even",0.09
"expensive",0.09
"febhigh",0.09
"feblow",0.09
"generally",0.09
"janlow",0.09
"janprecip",0.09
"julhigh",0.09
"jullow",0.09
"junhigh",0.09
"junlow",0.09
"junprecip",0.09
"marhigh",0.09
"marlow",0.09
"mayhigh",0.09
"mayprecip",0.09
"metric",0.09
"novhigh",0.09
"novlow",0.09
"novprecip",0.09
"octhigh",0.09
"octlow",0.09
"often",0.09
"price",0.09
"prices",0.09
"quality",0.09
"sephigh",0.09
"seplow",0.09
"snowfall",0.09
"sometimes",0.09
"time",0.09
"winter",0.09
"augprecip",0.08
"avoid",0.08
"cards",0.08
"conditions",0.08
"cost",0.08
"crime",0.08
"currency",0.08
"decprecip",0.08
"drivers",0.08
"especially",0.08
"european",0.08
"febprecip",0.08
"foreign",0.08
"humid",0.08
"january",0.08
"julprecip",0.08
"marprecip",0.08
"mild",0.08
"months",0.08
"octprecip",0.08
"pay",0.08
"per",0.08
"rain",0.08
"rate",0.08
"receives",0.08
"sepprecip",0.08
"standard",0.08
"tend",0.08
"weather",0.08
"winters",0.08
"without",0.08
"always",0.07
"beer",0.07
"better",0.07
"cheaper",0.07
"cold",0.07
"different",0.07
"exchange",0.07
"expect",0.07
"getting",0.07
"higher",0.07
"hottest",0.07
"july",0.07
"keep",0.07
"lowest",0.07
"make",0.07
"may",0.07
"money",0.07
"monthly",0.07
"must",0.07
"need",0.07
"never",0.07
"occur",0.07
"police",0.07
"prepaid",0.07
"summer",0.07
"summers",0.07
"tipping",0.07
"tropical",0.07
"use",0.07
"visa",0.07
