"","away"
"minutes",0.16
"quite",0.11
"tucked",0.11
"far",0.1
"just",0.1
"bars",0.09
"cheap",0.09
"even",0.09
"get",0.09
"good",0.09
"hour",0.09
"like",0.09
"place",0.09
"places",0.09
"short",0.09
"stay",0.09
"walk",0.09
"will",0.09
"around",0.08
"cost",0.08
"find",0.08
"hotel",0.08
"keep",0.08
"km",0.08
"less",0.08
"nice",0.08
"night",0.08
"opposite",0.08
"price",0.08
"quiet",0.08
"want",0.08
"airport",0.07
"almost",0.07
"always",0.07
"another",0.07
"ask",0.07
"behind",0.07
"budget",0.07
"bus",0.07
"buy",0.07
"can",0.07
"cheaper",0.07
"direct",0.07
"expensive",0.07
"hours",0.07
"locals",0.07
"min",0.07
"offer",0.07
"option",0.07
"pay",0.07
"prices",0.07
"right",0.07
"rooms",0.07
"shops",0.07
"staff",0.07
"station",0.07
"time",0.07
"two",0.07
