"","baked"
"bread",0.16
"homemade",0.16
"fresh",0.15
"bakery",0.14
"freshly",0.14
"goods",0.14
"breads",0.12
"coffee",0.12
"sandwiches",0.12
"lunch",0.11
"menu",0.11
"selection",0.11
"specialty",0.11
"breakfast",0.1
"chicken",0.1
"deli",0.1
"shop",0.1
"treats",0.1
"cheese",0.09
"cream",0.09
"delicious",0.09
"dining",0.09
"dinner",0.09
"farmers'",0.09
"pastries",0.09
"pizza",0.09
"store",0.09
"variety",0.09
"books",0.08
"cake",0.08
"cakes",0.08
"classic",0.08
"dough",0.08
"features",0.08
"featuring",0.08
"food",0.08
"fried",0.08
"gourmet",0.08
"outdoor",0.08
"oven",0.08
"pasta",0.08
"potato",0.08
"restaurant",0.08
"roasted",0.08
"salad",0.08
"soups",0.08
"street",0.08
"bar",0.07
"espresso",0.07
"full",0.07
"ice",0.07
"italian",0.07
"made",0.07
"music",0.07
"organic",0.07
"owned",0.07
"saturday",0.07
"wireless",0.07
