"","bar"
"restaurant",0.3
"live",0.23
"music",0.22
"grill",0.21
"food",0.2
"lounge",0.2
"menu",0.2
"selection",0.2
"bars",0.19
"pool",0.19
"pub",0.19
"street",0.19
"club",0.18
"st",0.18
"beer",0.17
"cafe",0.17
"dining",0.17
"free",0.17
"friendly",0.17
"great",0.17
"sports",0.17
"atmosphere",0.16
"open",0.16
"pizza",0.16
"crowd",0.15
"dance",0.15
"dinner",0.15
"drinks",0.15
"inn",0.15
"italian",0.15
"lunch",0.15
"night",0.15
"serves",0.15
"ave",0.14
"beers",0.14
"breakfast",0.14
"cocktail",0.14
"cocktails",0.14
"indoor",0.14
"nights",0.14
"offers",0.14
"outdoor",0.14
"coffee",0.13
"excellent",0.13
"good",0.13
"hotel",0.13
"house",0.13
"irish",0.13
"nightclub",0.13
"pizzas",0.13
"saturday",0.13
"shop",0.13
"specials",0.13
"sushi",0.13
"variety",0.13
"american",0.12
"casual",0.12
"cuisine",0.12
"delicious",0.12
"downtown",0.12
"features",0.12
"floor",0.12
"friday",0.12
"full",0.12
"fun",0.12
"karaoke",0.12
"mexican",0.12
"patio",0.12
"phone",0.12
"place",0.12
"rd",0.12
"room",0.12
"sandwiches",0.12
"seating",0.12
"serving",0.12
"shopping",0.12
"staff",0.12
"store",0.12
"style",0.12
"table",0.12
"tables",0.12
"upstairs",0.12
"avenue",0.11
"bands",0.11
"bar'''",0.11
"bistro",0.11
"burgers",0.11
"dj",0.11
"dr",0.11
"family",0.11
"favorite",0.11
"featuring",0.11
"fresh",0.11
"front",0.11
"games",0.11
"garden",0.11
"golf",0.11
"happy",0.11
"nice",0.11
"play",0.11
"prices",0.11
"relaxed",0.11
"screen",0.11
"seafood",0.11
"steak",0.11
"steakhouse",0.11
"upscale",0.11
"arts",0.1
"authentic",0.1
"best",0.1
"brunch",0.1
"buffet",0.1
"burger",0.1
"business",0.1
"corner",0.1
"course",0.1
"deli",0.1
"drink",0.1
"fine",0.1
"fitness",0.1
"grille",0.1
"homemade",0.1
"ice",0.1
"internet",0.1
"kitchen",0.1
"lively",0.1
"locations",0.1
"mall",0.1
"movie",0.1
"owned",0.1
"parking",0.1
"pizzeria",0.1
"plays",0.1
"popular",0.1
"right",0.1
"rooms",0.1
"students",0.1
"suites",0.1
"sunday",0.1
"tavern",0.1
"themed",0.1
"wide",0.1
"art",0.09
"bbq",0.09
"blvd",0.09
"boutique",0.09
"campus",0.09
"center",0.09
"cheap",0.09
"chef",0.09
"classic",0.09
"cozy",0.09
"cream",0.09
"deck",0.09
"decor",0.09
"diner",0.09
"draft",0.09
"events",0.09
"every",0.09
"gourmet",0.09
"kids",0.09
"large",0.09
"looking",0.09
"next",0.09
"offer",0.09
"offering",0.09
"party",0.09
"pasta",0.09
"playing",0.09
"plaza",0.09
"private",0.09
"reasonable",0.09
"salad",0.09
"service",0.09
"shops",0.09
"sit",0.09
"spacious",0.09
"steaks",0.09
"stores",0.09
"tapas",0.09
"terrace",0.09
"tvs",0.09
"university",0.09
"walking",0.09
"watch",0.09
"weekends",0.09
"wine",0.09
"always",0.08
"bakery",0.08
"band",0.08
"bed",0.08
"block",0.08
"busy",0.08
"chain",0.08
"chicken",0.08
"clothing",0.08
"clubs",0.08
"college",0.08
"courses",0.08
"customers",0.08
"decent",0.08
"dishes",0.08
"djs",0.08
"dog",0.08
"door",0.08
"downstairs",0.08
"eclectic",0.08
"end",0.08
"evening",0.08
"fantastic",0.08
"feel",0.08
"floors",0.08
"gallery",0.08
"hangout",0.08
"hip",0.08
"include",0.08
"includes",0.08
"including",0.08
"jazz",0.08
"library",0.08
"located",0.08
"miles",0.08
"minutes",0.08
"monday",0.08
"nightlife",0.08
"opened",0.08
"park",0.08
"parties",0.08
"patrons",0.08
"performers",0.08
"priced",0.08
"quality",0.08
"real",0.08
"recently",0.08
"ristorante",0.08
"rooftop",0.08
"salads",0.08
"saloon",0.08
"serve",0.08
"snack",0.08
"something",0.08
"stadium",0.08
"student",0.08
"su",0.08
"swimming",0.08
"theatre",0.08
"thursday",0.08
"trendy",0.08
"tv",0.08
"vegetarian",0.08
"venue",0.08
"watering",0.08
"weekend",0.08
"well",0.08
"wings",0.08
"young",0.08
"affordable",0.07
"appetizers",0.07
"baked",0.07
"balcony",0.07
"beach",0.07
"boulevard",0.07
"choice",0.07
"designer",0.07
"dive",0.07
"entrees",0.07
"espresso",0.07
"fish",0.07
"funky",0.07
"gift",0.07
"heart",0.07
"intimate",0.07
"just",0.07
"locals",0.07
"loud",0.07
"mile",0.07
"owner",0.07
"perfect",0.07
"pint",0.07
"plus",0.07
"range",0.07
"run",0.07
"screens",0.07
"shows",0.07
"shuttle",0.07
"star",0.07
"stylish",0.07
"tennis",0.07
"thai",0.07
"venues",0.07
"wifi",0.07
"wireless",0.07
"younger",0.07
