"","baroque"
"gothic",0.22
"church",0.2
"facade",0.18
"catholic",0.17
"hungarian",0.17
"altar",0.14
"castle",0.14
"century",0.14
"rebuilt",0.14
"churches",0.13
"built",0.12
"chapel",0.12
"medieval",0.12
"oldest",0.12
"palace",0.12
"polish",0.12
"austrian",0.11
"building",0.11
"buildings",0.11
"cathedral",0.11
"czech",0.11
"der",0.11
"erected",0.11
"german",0.11
"germany",0.11
"orthodox",0.11
"palaces",0.11
"ceramic",0.1
"collection",0.1
"exhibition",0.1
"maria",0.1
"precious",0.1
"roman",0.1
"style",0.1
"synagogue",0.1
"decorated",0.09
"elements",0.09
"hall",0.09
"michael",0.09
"monument",0.09
"painting",0.09
"preserved",0.09
"protestant",0.09
"romanesque",0.09
"square",0.09
"trinity",0.09
"von",0.09
"walls",0.09
"ages",0.08
"annexed",0.08
"architect",0.08
"cellar",0.08
"centuries",0.08
"dates",0.08
"di",0.08
"duke",0.08
"historical",0.08
"houses",0.08
"jewish",0.08
"late",0.08
"m-f",0.08
"monastery",0.08
"old",0.08
"paintings",0.08
"revival",0.08
"since",0.08
"tower",0.08
"valuable",0.08
"world",0.08
"became",0.07
"ceiling",0.07
"coat",0.07
"convent",0.07
"destroyed",0.07
"history",0.07
"holy",0.07
"middle",0.07
"monuments",0.07
"museum",0.07
"nicholas",0.07
"painted",0.07
"parish",0.07
"ticket",0.07
"train",0.07
"wellness",0.07
