"","bars"
"clubs",0.24
"bar",0.19
"nightlife",0.19
"night",0.17
"beer",0.15
"drinks",0.15
"find",0.15
"always",0.14
"drink",0.14
"hotels",0.14
"many",0.14
"music",0.14
"shops",0.14
"tapas",0.14
"cheap",0.13
"expensive",0.13
"food",0.13
"live",0.13
"offer",0.13
"party",0.13
"popular",0.13
"prices",0.13
"shopping",0.13
"streets",0.13
"usually",0.13
"cheaper",0.12
"dance",0.12
"locals",0.12
"often",0.12
"selection",0.12
"stores",0.12
"tend",0.12
"atmosphere",0.11
"beers",0.11
"best",0.11
"cafes",0.11
"drinking",0.11
"especially",0.11
"even",0.11
"every",0.11
"excellent",0.11
"free",0.11
"friendly",0.11
"generally",0.11
"good",0.11
"looking",0.11
"nightclubs",0.11
"nights",0.11
"places",0.11
"safe",0.11
"students",0.11
"taxi",0.11
"try",0.11
"variety",0.11
"young",0.11
"'re",0.1
"almost",0.1
"although",0.1
"avoid",0.1
"check",0.1
"close",0.1
"cocktails",0.1
"cost",0.1
"crowd",0.1
"crowded",0.1
"different",0.1
"djs",0.1
"expect",0.1
"just",0.1
"large",0.1
"like",0.1
"lively",0.1
"lot",0.1
"make",0.1
"modern",0.1
"nice",0.1
"number",0.1
"outside",0.1
"plenty",0.1
"price",0.1
"pubs",0.1
"quality",0.1
"quite",0.1
"serve",0.1
"serving",0.1
"staff",0.1
"student",0.1
"trendy",0.1
"'s",0.09
"around",0.09
"ask",0.09
"away",0.09
"bands",0.09
"beach",0.09
"beaches",0.09
"budget",0.09
"busy",0.09
"buy",0.09
"card",0.09
"choice",0.09
"club",0.09
"cocktail",0.09
"common",0.09
"cuisine",0.09
"customers",0.09
"disco",0.09
"dishes",0.09
"drivers",0.09
"eat",0.09
"english",0.09
"european",0.09
"fast",0.09
"feel",0.09
"floor",0.09
"found",0.09
"fresh",0.09
"fun",0.09
"gay",0.09
"great",0.09
"happy",0.09
"hard",0.09
"internet",0.09
"italian",0.09
"less",0.09
"look",0.09
"lots",0.09
"mostly",0.09
"next",0.09
"nightclub",0.09
"offering",0.09
"offers",0.09
"open",0.09
"packed",0.09
"pay",0.09
"people",0.09
"place",0.09
"police",0.09
"range",0.09
"relaxed",0.09
"sell",0.09
"several",0.09
"something",0.09
"sometimes",0.09
"sure",0.09
"taxis",0.09
"throughout",0.09
"tourist",0.09
"traffic",0.09
"typical",0.09
"university",0.09
"venues",0.09
"walking",0.09
"want",0.09
"well",0.09
"will",0.09
"worth",0.09
"'ll",0.08
"anything",0.08
"areas",0.08
"authentic",0.08
"aware",0.08
"better",0.08
"bit",0.08
"calle",0.08
"can",0.08
"certain",0.08
"chain",0.08
"charge",0.08
"cheapest",0.08
"city's",0.08
"companies",0.08
"decent",0.08
"delicious",0.08
"depending",0.08
"directly",0.08
"el",0.08
"electronic",0.08
"end",0.08
"enjoy",0.08
"everything",0.08
"extremely",0.08
"fare",0.08
"floors",0.08
"football",0.08
"foreign",0.08
"frequented",0.08
"full",0.08
"get",0.08
"go",0.08
"keep",0.08
"know",0.08
"late",0.08
"lined",0.08
"little",0.08
"local",0.08
"locations",0.08
"meat",0.08
"menu",0.08
"money",0.08
"much",0.08
"ones",0.08
"opened",0.08
"play",0.08
"playa",0.08
"playing",0.08
"plaza",0.08
"pool",0.08
"priced",0.08
"rather",0.08
"real",0.08
"really",0.08
"reasonable",0.08
"recently",0.08
"relatively",0.08
"restaurant",0.08
"ride",0.08
"seafood",0.08
"slightly",0.08
"spain",0.08
"sports",0.08
"stadium",0.08
"tables",0.08
"things",0.08
"though",0.08
"time",0.08
"tourists",0.08
"trying",0.08
"typically",0.08
"use",0.08
"walk",0.08
"weekends",0.08
"wide",0.08
"within",0.08
"without",0.08
"alcoholic",0.07
"available",0.07
"become",0.07
"behind",0.07
"big",0.07
"book",0.07
"business",0.07
"cars",0.07
"chains",0.07
"couple",0.07
"courses",0.07
"cover",0.07
"crime",0.07
"dark",0.07
"de",0.07
"events",0.07
"exchange",0.07
"exclusive",0.07
"fairly",0.07
"front",0.07
"give",0.07
"hip",0.07
"hotel",0.07
"include",0.07
"including",0.07
"la",0.07
"liquor",0.07
"list",0.07
"long",0.07
"loud",0.07
"lounge",0.07
"majority",0.07
"might",0.07
"minutes",0.07
"mix",0.07
"must",0.07
"note",0.07
"pedestrian",0.07
"pick",0.07
"problem",0.07
"quiet",0.07
"reasonably",0.07
"selling",0.07
"shows",0.07
"sit",0.07
"smaller",0.07
"speaking",0.07
"start",0.07
"street",0.07
"summer",0.07
"system",0.07
"tap",0.07
"tends",0.07
"tickets",0.07
"uk",0.07
"usual",0.07
"value",0.07
"watch",0.07
"week",0.07
