"","bedrooms"
"catered",0.14
"sleeps",0.14
"en-suite",0.11
"self",0.11
"suite",0.11
"villa",0.11
"apartments",0.1
"bathroom",0.1
"bed",0.1
"dvd",0.1
"furnished",0.1
"kitchen",0.1
"spacious",0.1
"breakfast",0.09
"cottage",0.09
"della",0.09
"fully",0.09
"guest",0.09
"private",0.09
"bathrooms",0.08
"cosy",0.08
"di",0.08
"en",0.08
"equipped",0.08
"room",0.08
"sleeping",0.08
"swimming",0.08
"tv",0.08
"bedroom",0.07
"double",0.07
"ensuite",0.07
"landscaped",0.07
"lounge",0.07
"reference",0.07
"satellite",0.07
