"","bike"
"bikes",0.23
"bicycle",0.17
"biking",0.15
"rent",0.15
"rental",0.15
"cycling",0.11
"rentals",0.11
"ride",0.11
"trail",0.11
"trails",0.11
"amsterdam",0.1
"parking",0.1
"paths",0.1
"bicycles",0.09
"cycle",0.09
"free",0.09
"lanes",0.09
"make",0.09
"outdoor",0.09
"along",0.08
"car",0.08
"cyclists",0.08
"downtown",0.08
"music",0.08
"open",0.08
"path",0.08
"riding",0.08
"summer",0.08
"tours",0.08
"walking",0.08
"'re",0.07
"beer",0.07
"bikers",0.07
"day",0.07
"end",0.07
"ice",0.07
"offers",0.07
"public",0.07
"restaurant",0.07
"shop",0.07
