"","bit"
"'s",0.16
"even",0.16
"expensive",0.16
"good",0.15
"little",0.15
"nice",0.15
"prices",0.15
"try",0.15
"'re",0.14
"might",0.14
"pay",0.14
"quite",0.14
"'ll",0.13
"cheap",0.13
"expect",0.13
"find",0.13
"get",0.13
"price",0.13
"staff",0.13
"want",0.13
"ask",0.12
"better",0.12
"clean",0.12
"especially",0.12
"food",0.12
"friendly",0.12
"go",0.12
"make",0.12
"place",0.12
"really",0.12
"sometimes",0.12
"sure",0.12
"usually",0.12
"will",0.12
"worth",0.12
"another",0.11
"avoid",0.11
"cheaper",0.11
"check",0.11
"crowded",0.11
"drivers",0.11
"hard",0.11
"just",0.11
"least",0.11
"like",0.11
"may",0.11
"money",0.11
"much",0.11
"night",0.11
"often",0.11
"probably",0.11
"rooms",0.11
"time",0.11
"walk",0.11
"way",0.11
"actually",0.1
"always",0.1
"anything",0.1
"around",0.1
"back",0.1
"beer",0.1
"best",0.1
"budget",0.1
"buy",0.1
"can",0.1
"cost",0.1
"decent",0.1
"far",0.1
"generally",0.1
"give",0.1
"going",0.1
"know",0.1
"less",0.1
"locals",0.1
"look",0.1
"meal",0.1
"need",0.1
"next",0.1
"owners",0.1
"places",0.1
"rather",0.1
"right",0.1
"room",0.1
"seem",0.1
"sell",0.1
"start",0.1
"still",0.1
"though",0.1
"wait",0.1
"without",0.1
"'ve",0.09
"almost",0.09
"although",0.09
"behind",0.09
"careful",0.09
"cheapest",0.09
"come",0.09
"costs",0.09
"dishes",0.09
"driver",0.09
"english",0.09
"enough",0.09
"excellent",0.09
"extremely",0.09
"fairly",0.09
"front",0.09
"gets",0.09
"getting",0.09
"great",0.09
"higher",0.09
"hostel",0.09
"keep",0.09
"leave",0.09
"lot",0.09
"menu",0.09
"offer",0.09
"option",0.09
"order",0.09
"outside",0.09
"paying",0.09
"per",0.09
"pretty",0.09
"quality",0.09
"reasonable",0.09
"see",0.09
"simple",0.09
"slightly",0.09
"something",0.09
"standard",0.09
"staying",0.09
"tend",0.09
"ticket",0.09
"trip",0.09
"waiting",0.09
"wifi",0.09
"young",0.09
"asking",0.08
"atmosphere",0.08
"aware",0.08
"bars",0.08
"big",0.08
"book",0.08
"busy",0.08
"cards",0.08
"change",0.08
"charge",0.08
"choice",0.08
"cocktails",0.08
"common",0.08
"couple",0.08
"crowd",0.08
"deal",0.08
"definitely",0.08
"depending",0.08
"despite",0.08
"different",0.08
"difficult",0.08
"dorm",0.08
"dorms",0.08
"drink",0.08
"drinks",0.08
"easy",0.08
"either",0.08
"else",0.08
"end",0.08
"every",0.08
"extra",0.08
"feel",0.08
"finding",0.08
"free",0.08
"full",0.08
"guide",0.08
"help",0.08
"helpful",0.08
"hostels",0.08
"hotels",0.08
"idea",0.08
"internet",0.08
"longer",0.08
"looking",0.08
"lots",0.08
"makes",0.08
"mind",0.08
"morning",0.08
"mostly",0.08
"music",0.08
"noisy",0.08
"note",0.08
"owner",0.08
"person",0.08
"pick",0.08
"plan",0.08
"playing",0.08
"rate",0.08
"ride",0.08
"save",0.08
"seems",0.08
"selection",0.08
"serves",0.08
"side",0.08
"single",0.08
"stay",0.08
"take",0.08
"taxi",0.08
"taxis",0.08
"tell",0.08
"tourist",0.08
"unless",0.08
"use",0.08
"useful",0.08
"value",0.08
"walking",0.08
"well",0.08
"accept",0.07
"anywhere",0.07
"arrange",0.07
"atms",0.07
"beware",0.07
"bring",0.07
"dark",0.07
"double",0.07
"everything",0.07
"exchange",0.07
"farther",0.07
"floor",0.07
"foreign",0.07
"imported",0.07
"included",0.07
"inside",0.07
"let",0.07
"likely",0.07
"modern",0.07
"nicer",0.07
"normal",0.07
"nothing",0.07
"options",0.07
"people",0.07
"perhaps",0.07
"pleasant",0.07
"popular",0.07
"possible",0.07
"prepared",0.07
"problem",0.07
"restaurant",0.07
"rooftop",0.07
"several",0.07
"shared",0.07
"similar",0.07
"sit",0.07
"smaller",0.07
"someone",0.07
"somewhat",0.07
"streets",0.07
"table",0.07
"terminal",0.07
"tickets",0.07
"tourists",0.07
"trying",0.07
"watch",0.07
"whole",0.07
