"","blocks"
"block",0.27
"plaza",0.15
"calle",0.14
"corner",0.13
"downtown",0.13
"avenida",0.11
"parque",0.11
"pesos",0.11
"internet",0.1
"street",0.1
"terminal",0.1
"addresses",0.09
"clean",0.09
"del",0.09
"dorm",0.09
"el",0.09
"free",0.09
"la",0.09
"music",0.09
"upscale",0.09
"ave",0.08
"avenue",0.08
"breakfast",0.08
"buses",0.08
"casa",0.08
"cheap",0.08
"city's",0.08
"couple",0.08
"cruz",0.08
"friendly",0.08
"front",0.08
"hostel",0.08
"las",0.08
"laundry",0.08
"los",0.08
"mexican",0.08
"nice",0.08
"owner",0.08
"patio",0.08
"rooftop",0.08
"rooms",0.08
"salsa",0.08
"san",0.08
"shared",0.08
"two",0.08
"ask",0.07
"coffee",0.07
"colonial",0.07
"cost",0.07
"de",0.07
"eclectic",0.07
"just",0.07
"live",0.07
"night",0.07
"owners",0.07
"room",0.07
"square",0.07
"streets",0.07
"try",0.07
