"","boat"
"boats",0.32
"island",0.24
"dock",0.17
"ferry",0.17
"fishing",0.17
"trips",0.17
"dive",0.16
"diving",0.16
"islands",0.16
"launch",0.15
"scuba",0.15
"trip",0.15
"beach",0.13
"beaches",0.13
"fish",0.13
"marine",0.13
"pier",0.13
"ride",0.13
"snorkeling",0.13
"cruise",0.12
"cruises",0.12
"divers",0.12
"dives",0.12
"marina",0.12
"reef",0.12
"water",0.12
"bay",0.11
"coral",0.11
"padi",0.11
"port",0.11
"rent",0.11
"sea",0.11
"bungalows",0.1
"can",0.1
"charter",0.1
"docks",0.1
"dolphins",0.1
"ferries",0.1
"floating",0.1
"jungle",0.1
"kayak",0.1
"private",0.1
"reefs",0.1
"sailing",0.1
"snorkel",0.1
"tour",0.1
"tours",0.1
"waterfront",0.1
"waters",0.1
"arrange",0.09
"baht",0.09
"chartered",0.09
"hire",0.09
"jetty",0.09
"kayaking",0.09
"kayaks",0.09
"lighthouse",0.09
"mainland",0.09
"mosquito",0.09
"operators",0.09
"seafood",0.09
"shore",0.09
"swim",0.09
"yacht",0.09
"available",0.08
"canal",0.08
"catamaran",0.08
"charters",0.08
"day",0.08
"depending",0.08
"get",0.08
"harbor",0.08
"jet",0.08
"leave",0.08
"leaves",0.08
"offer",0.08
"per",0.08
"possible",0.08
"resort",0.08
"return",0.08
"sand",0.08
"season",0.08
"shallow",0.08
"sharks",0.08
"stay",0.08
"take",0.08
"tropical",0.08
"underwater",0.08
"will",0.08
"ask",0.07
"cargo",0.07
"harbour",0.07
"island'''",0.07
"island's",0.07
"lagoon",0.07
"lake",0.07
"long",0.07
"may",0.07
"need",0.07
"prices",0.07
"ramp",0.07
"rentals",0.07
"sail",0.07
"saltwater",0.07
"sandy",0.07
"see",0.07
"tip",0.07
