"","boiled"
"eaten",0.18
"fried",0.18
"dish",0.16
"dried",0.15
"ginger",0.13
"rice",0.13
"seasoned",0.13
"tender",0.13
"fermented",0.12
"meat",0.12
"pork",0.12
"potato",0.12
"cooked",0.11
"made",0.11
"roasted",0.11
"sour",0.11
"spicy",0.11
"stew",0.11
"vegetables",0.11
"beans",0.1
"cook",0.1
"potatoes",0.1
"prepared",0.1
"sweet",0.1
"bottled",0.09
"egg",0.09
"fish",0.09
"flour",0.09
"milk",0.09
"sauce",0.09
"soup",0.09
"added",0.08
"common",0.08
"dishes",0.08
"leaves",0.08
"mixed",0.08
"pieces",0.08
"steamed",0.08
"topped",0.08
"wheat",0.08
"eggs",0.07
"fresh",0.07
"nationals",0.07
"optional",0.07
"served",0.07
"smoked",0.07
"spices",0.07
"stall",0.07
"try",0.07
