"","bottle"
"bottles",0.15
"beer",0.11
"pay",0.11
"ask",0.1
"buy",0.1
"drink",0.1
"expensive",0.1
"prices",0.1
"try",0.1
"wine",0.1
"alcohol",0.09
"currency",0.09
"exchange",0.09
"know",0.09
"night",0.09
"price",0.09
"purchase",0.09
"remember",0.09
"wines",0.09
"always",0.08
"beers",0.08
"better",0.08
"charge",0.08
"cheaper",0.08
"compared",0.08
"cost",0.08
"drivers",0.08
"even",0.08
"expect",0.08
"generally",0.08
"least",0.08
"money",0.08
"offer",0.08
"often",0.08
"per",0.08
"plastic",0.08
"rate",0.08
"say",0.08
"sell",0.08
"slightly",0.08
"sure",0.08
"unless",0.08
"usually",0.08
"will",0.08
"without",0.08
"avoid",0.07
"bangkok",0.07
"bring",0.07
"carry",0.07
"cheap",0.07
"come",0.07
"depending",0.07
"dollars",0.07
"find",0.07
"internet",0.07
"laws",0.07
"sim",0.07
"sold",0.07
"visa",0.07
"women",0.07
