"","buses"
"bus",0.37
"leave",0.22
"station",0.21
"cost",0.19
"run",0.19
"taxis",0.19
"terminal",0.18
"trains",0.18
"depart",0.17
"frequent",0.16
"taxi",0.16
"costs",0.15
"direct",0.15
"every",0.15
"stop",0.15
"ticket",0.15
"hours",0.14
"journey",0.14
"ply",0.14
"tickets",0.14
"transport",0.14
"can",0.13
"driver",0.13
"takes",0.13
"train",0.13
"around",0.12
"change",0.12
"cheap",0.12
"cheaper",0.12
"get",0.12
"going",0.12
"railway",0.12
"times",0.12
"travel",0.12
"also",0.11
"connect",0.11
"fare",0.11
"go",0.11
"minibuses",0.11
"pay",0.11
"regular",0.11
"take",0.11
"temple",0.11
"ask",0.1
"available",0.1
"buy",0.1
"catch",0.1
"day",0.1
"drivers",0.1
"expensive",0.1
"express",0.1
"hour",0.1
"hourly",0.1
"km",0.1
"leaves",0.1
"leaving",0.1
"per",0.1
"price",0.1
"stand",0.1
"walk",0.1
"will",0.1
"clean",0.09
"daily",0.09
"distance",0.09
"double",0.09
"hotel",0.09
"inside",0.09
"near",0.09
"need",0.09
"negotiate",0.09
"operate",0.09
"opposite",0.09
"passengers",0.09
"places",0.09
"prices",0.09
"reach",0.09
"rickshaws",0.09
"several",0.09
"stops",0.09
"trip",0.09
"usually",0.09
"wait",0.09
"another",0.08
"arrive",0.08
"bangkok",0.08
"better",0.08
"blocks",0.08
"bought",0.08
"card",0.08
"charge",0.08
"cheapest",0.08
"cities",0.08
"depending",0.08
"english",0.08
"frequently",0.08
"good",0.08
"hostel",0.08
"hotels",0.08
"intercity",0.08
"may",0.08
"min",0.08
"minutes",0.08
"morning",0.08
"next",0.08
"night",0.08
"note",0.08
"option",0.08
"quite",0.08
"rooms",0.08
"running",0.08
"shared",0.08
"stations",0.08
"taking",0.08
"timetables",0.08
"tourist",0.08
"transfer",0.08
"use",0.08
"way",0.08
"arriving",0.07
"centre",0.07
"charges",0.07
"dong",0.07
"drop",0.07
"foreign",0.07
"foreigners",0.07
"local",0.07
"minibus",0.07
"nearest",0.07
"nice",0.07
"operated",0.07
"ride",0.07
"services",0.07
"stalls",0.07
"time",0.07
"timetable",0.07
"towards",0.07
"twice",0.07
"two",0.07
