"","busy"
"gets",0.1
"parking",0.1
"popular",0.1
"traffic",0.1
"always",0.09
"bars",0.09
"cheap",0.09
"clubs",0.09
"especially",0.09
"nightclub",0.09
"pubs",0.09
"streets",0.09
"avoid",0.08
"bar",0.08
"bit",0.08
"expensive",0.08
"food",0.08
"great",0.08
"night",0.08
"offer",0.08
"prices",0.08
"pub",0.08
"quiet",0.08
"quite",0.08
"selection",0.08
"shops",0.08
"walk",0.08
"worth",0.08
"crowd",0.07
"drinks",0.07
"even",0.07
"find",0.07
"good",0.07
"live",0.07
"longer",0.07
"market",0.07
"modern",0.07
"nights",0.07
"often",0.07
"relaxed",0.07
"staff",0.07
"summer",0.07
"sure",0.07
"tend",0.07
"ticket",0.07
"tickets",0.07
"trendy",0.07
"usually",0.07
