"","california"
"ca",0.28
"angeles",0.22
"los",0.18
"francisco",0.17
"san",0.17
"blvd",0.16
"mexican",0.16
"luis",0.14
"mission",0.14
"sierra",0.14
"amtrak",0.12
"freeway",0.12
"jose",0.12
"pacific",0.12
"tacos",0.12
"highway",0.11
"inn",0.11
"miles",0.11
"interstate",0.1
"santa",0.1
"valley",0.1
"american",0.09
"ave",0.09
"boulevard",0.09
"dr",0.09
"gold",0.09
"hollywood",0.09
"state",0.09
"united",0.09
"vista",0.09
"avenue",0.08
"county",0.08
"downtown",0.08
"gang",0.08
"taco",0.08
"transit",0.08
"reviews",0.07
"suites",0.07
"wine",0.07
