"","called"
"like",0.15
"famous",0.12
"made",0.12
"people",0.12
"sometimes",0.12
"used",0.12
"also",0.11
"find",0.11
"means",0.11
"usually",0.11
"another",0.1
"believed",0.1
"common",0.1
"different",0.1
"name",0.1
"often",0.1
"always",0.09
"big",0.09
"buy",0.09
"came",0.09
"can",0.09
"divided",0.09
"especially",0.09
"even",0.09
"every",0.09
"form",0.09
"important",0.09
"language",0.09
"lot",0.09
"one",0.09
"parts",0.09
"temple",0.09
"tourist",0.09
"try",0.09
"almost",0.08
"ancient",0.08
"ask",0.08
"became",0.08
"biggest",0.08
"cheap",0.08
"dish",0.08
"drink",0.08
"english",0.08
"foreign",0.08
"found",0.08
"given",0.08
"go",0.08
"holy",0.08
"india",0.08
"know",0.08
"known",0.08
"later",0.08
"many",0.08
"meat",0.08
"named",0.08
"near",0.08
"official",0.08
"part",0.08
"place",0.08
"places",0.08
"since",0.08
"sold",0.08
"speak",0.08
"special",0.08
"started",0.08
"still",0.08
"sweet",0.08
"taste",0.08
"time",0.08
"two",0.08
"widely",0.08
"word",0.08
"years",0.08
"among",0.07
"avoid",0.07
"built",0.07
"changed",0.07
"cities",0.07
"come",0.07
"eaten",0.07
"european",0.07
"expensive",0.07
"first",0.07
"get",0.07
"give",0.07
"government",0.07
"hindu",0.07
"locals",0.07
"lord",0.07
"middle",0.07
"rich",0.07
"said",0.07
"shiva",0.07
"stations",0.07
"though",0.07
"till",0.07
"will",0.07
"work",0.07
"young",0.07
