"","car"
"rental",0.2
"parking",0.14
"rent",0.14
"hire",0.13
"cable",0.12
"driving",0.12
"cars",0.11
"use",0.11
"get",0.1
"public",0.1
"airport",0.09
"can",0.09
"companies",0.09
"drive",0.09
"minutes",0.09
"need",0.09
"renting",0.09
"roads",0.09
"train",0.09
"bike",0.08
"bus",0.08
"centre",0.08
"easily",0.08
"ferry",0.08
"hour",0.08
"parks",0.08
"plane",0.08
"reached",0.08
"service",0.08
"services",0.08
"traffic",0.08
"travel",0.08
"way",0.08
"accessible",0.07
"day",0.07
"free",0.07
"go",0.07
"take",0.07
"using",0.07
"walking",0.07
