"","card"
"credit",0.46
"sim",0.31
"bought",0.26
"tickets",0.24
"cards",0.22
"passport",0.2
"prepaid",0.2
"accept",0.19
"cash",0.19
"search",0.19
"valid",0.19
"read",0.18
"ticket",0.18
"exchange",0.17
"machines",0.17
"organized",0.17
"pay",0.17
"currency",0.16
"drivers",0.16
"payment",0.16
"sell",0.16
"atms",0.15
"buying",0.15
"countries",0.15
"entry",0.15
"foreign",0.15
"gsm",0.15
"inside",0.15
"insurance",0.15
"money",0.15
"need",0.15
"paying",0.15
"tipping",0.15
"visa",0.15
"avoid",0.14
"buy",0.14
"cheaper",0.14
"debit",0.14
"embassy",0.14
"often",0.14
"phones",0.14
"use",0.14
"accepted",0.13
"checks",0.13
"citizens",0.13
"driver",0.13
"expensive",0.13
"illegal",0.13
"might",0.13
"mobile",0.13
"note",0.13
"obtain",0.13
"police",0.13
"purchase",0.13
"always",0.12
"apply",0.12
"ask",0.12
"aware",0.12
"charge",0.12
"charged",0.12
"coins",0.12
"common",0.12
"cost",0.12
"discount",0.12
"european",0.12
"generally",0.12
"id",0.12
"keep",0.12
"offices",0.12
"official",0.12
"paid",0.12
"passengers",0.12
"price",0.12
"rate",0.12
"require",0.12
"sure",0.12
"usually",0.12
"allowed",0.11
"almost",0.11
"arrival",0.11
"beware",0.11
"change",0.11
"cheap",0.11
"companies",0.11
"consider",0.11
"costs",0.11
"customs",0.11
"electronic",0.11
"especially",0.11
"even",0.11
"expect",0.11
"extra",0.11
"fares",0.11
"give",0.11
"insist",0.11
"instead",0.11
"know",0.11
"legal",0.11
"likely",0.11
"must",0.11
"numbers",0.11
"prices",0.11
"problem",0.11
"receive",0.11
"required",0.11
"safe",0.11
"security",0.11
"sometimes",0.11
"special",0.11
"tend",0.11
"transport",0.11
"unless",0.11
"using",0.11
"visas",0.11
"without",0.11
"work",0.11
"advance",0.1
"airport",0.1
"atm",0.1
"case",0.1
"certain",0.1
"check",0.1
"clubs",0.1
"compared",0.1
"criminal",0.1
"directly",0.1
"english",0.1
"entering",0.1
"eu",0.1
"fee",0.1
"foreigners",0.1
"free",0.1
"help",0.1
"holders",0.1
"internet",0.1
"issued",0.1
"least",0.1
"license",0.1
"luggage",0.1
"make",0.1
"may",0.1
