"","case"
"always",0.12
"avoid",0.11
"carry",0.11
"drivers",0.11
"emergency",0.11
"even",0.11
"may",0.11
"need",0.11
"often",0.11
"pay",0.11
"police",0.11
"better",0.1
"card",0.1
"cards",0.1
"cases",0.1
"currency",0.1
"especially",0.1
"illegal",0.1
"insurance",0.1
"keep",0.1
"legal",0.1
"money",0.1
"plan",0.1
"prepaid",0.1
"sim",0.1
"tipping",0.1
"unless",0.1
"usually",0.1
"visa",0.1
"will",0.1
"able",0.09
"accept",0.09
"apply",0.09
"ask",0.09
"aware",0.09
"common",0.09
"countries",0.09
"drinking",0.09
"extra",0.09
"find",0.09
"foreign",0.09
"generally",0.09
"give",0.09
"know",0.09
"might",0.09
"mobile",0.09
"note",0.09
"offices",0.09
"passport",0.09
"paying",0.09
"payment",0.09
"phones",0.09
"price",0.09
"simply",0.09
"sometimes",0.09
"sure",0.09
"tend",0.09
"want",0.09
"without",0.09
"advance",0.08
"advice",0.08
"almost",0.08
"areas",0.08
"assume",0.08
"atms",0.08
"bring",0.08
"buy",0.08
"care",0.08
"careful",0.08
"cheapest",0.08
"citizens",0.08
"companies",0.08
"credit",0.08
"depend",0.08
"driver",0.08
"exchange",0.08
"expect",0.08
"expensive",0.08
"getting",0.08
"help",0.08
"issue",0.08
"itinerary",0.08
"language",0.08
"least",0.08
"like",0.08
"likely",0.08
"make",0.08
"meat",0.08
"medical",0.08
"mind",0.08
"must",0.08
"never",0.08
"normally",0.08
"numbers",0.08
"people",0.08
"political",0.08
"prices",0.08
"problems",0.08
"remember",0.08
"require",0.08
"respect",0.08
"risk",0.08
"something",0.08
"speak",0.08
"stay",0.08
"though",0.08
"time",0.08
"try",0.08
"typically",0.08
"use",0.08
"valid",0.08
"visas",0.08
"wear",0.08
"work",0.08
"''''",0.07
"'re",0.07
"accepted",0.07
"accident",0.07
"advisable",0.07
"allowed",0.07
"anywhere",0.07
"asked",0.07
"bills",0.07
"cause",0.07
"certain",0.07
"cheaper",0.07
"coins",0.07
"cover",0.07
"depending",0.07
"different",0.07
"difficult",0.07
"embassy",0.07
"ensure",0.07
"entering",0.07
"except",0.07
"fixed",0.07
"guide",0.07
"higher",0.07
"however",0.07
"id",0.07
"leaving",0.07
"license",0.07
"mean",0.07
"much",0.07
"nationals",0.07
"night",0.07
"obtain",0.07
"paid",0.07
"plastic",0.07
"polite",0.07
"possible",0.07
"prepared",0.07
"problem",0.07
"rate",0.07
"rather",0.07
"refuse",0.07
"report",0.07
"required",0.07
"rule",0.07
"rules",0.07
"similar",0.07
"someone",0.07
"still",0.07
"unlikely",0.07
"wallet",0.07
"widely",0.07
