"","cases"
"countries",0.13
"common",0.12
"insurance",0.12
"currency",0.11
"drivers",0.11
"illegal",0.11
"money",0.11
"accept",0.1
"apply",0.1
"avoid",0.1
"aware",0.1
"case",0.1
"charged",0.1
"embassy",0.1
"especially",0.1
"exchange",0.1
"prepaid",0.1
"safe",0.1
"serious",0.1
"tend",0.1
"tipping",0.1
"usually",0.1
"visa",0.1
"always",0.09
"card",0.09
"cards",0.09
"careful",0.09
"citizens",0.09
"even",0.09
"foreign",0.09
"generally",0.09
"keep",0.09
"least",0.09
"legal",0.09
"nations",0.09
"obtain",0.09
"often",0.09
"pay",0.09
"police",0.09
"risk",0.09
"tap",0.09
"use",0.09
"accepted",0.08
"affected",0.08
"aggressive",0.08
"attention",0.08
"cause",0.08
"cheaper",0.08
"crime",0.08
"criminal",0.08
"customary",0.08
"drugs",0.08
"embassies",0.08
"eu",0.08
"european",0.08
"expect",0.08
"fact",0.08
"issue",0.08
"know",0.08
"law",0.08
"may",0.08
"medical",0.08
"might",0.08
"mind",0.08
"notes",0.08
"others",0.08
"passport",0.08
"problems",0.08
"rather",0.08
"reported",0.08
"require",0.08
"respect",0.08
"rules",0.08
"severe",0.08
"sim",0.08
"sometimes",0.08
"subject",0.08
"unless",0.08
"visas",0.08
"widely",0.08
"without",0.08
"work",0.08
"agencies",0.07
"alcohol",0.07
"applies",0.07
"atms",0.07
"bottled",0.07
"cheapest",0.07
"coins",0.07
"credit",0.07
"difficult",0.07
"driver",0.07
"equivalent",0.07
"exception",0.07
"exceptions",0.07
"help",0.07
"issued",0.07
"language",0.07
"languages",0.07
"likely",0.07
"mobile",0.07
"officers",0.07
"official",0.07
"paid",0.07
"payment",0.07
"political",0.07
"problem",0.07
"rare",0.07
"rarely",0.07
"regardless",0.07
"renting",0.07
"resulting",0.07
"someone",0.07
"sought",0.07
"staying",0.07
"traffic",0.07
