"","cash"
"credit",0.26
"atms",0.24
"cards",0.24
"accept",0.22
"card",0.19
"currency",0.19
"atm",0.18
"exchange",0.18
"money",0.16
"passport",0.16
"visa",0.16
"accepted",0.14
"pay",0.14
"payment",0.14
"paid",0.13
"visas",0.13
"avoid",0.12
"bank",0.12
"bring",0.12
"checks",0.12
"embassy",0.12
"obtain",0.12
"paying",0.12
"sure",0.12
"always",0.11
"bottled",0.11
"carry",0.11
"debit",0.11
"dollars",0.11
"drivers",0.11
"expensive",0.11
"foreign",0.11
"luggage",0.11
"prepaid",0.11
"prices",0.11
"rate",0.11
"sim",0.11
"valid",0.11
"advance",0.1
"bills",0.1
"buying",0.1
"check",0.1
"common",0.1
"countries",0.1
"driver's",0.1
"expect",0.1
"extra",0.1
"generally",0.1
"machines",0.1
"need",0.1
"note",0.1
"police",0.1
"purchase",0.1
"required",0.1
"amounts",0.09
"apply",0.09
"arrival",0.09
"ask",0.09
"better",0.09
"beware",0.09
"buy",0.09
"charge",0.09
"cheaper",0.09
"coins",0.09
"companies",0.09
"consulate",0.09
"depending",0.09
"enough",0.09
"especially",0.09
"even",0.09
"give",0.09
"internet",0.09
"issued",0.09
"keep",0.09
"least",0.09
"legal",0.09
"machine",0.09
"make",0.09
"may",0.09
"might",0.09
"mobile",0.09
"notes",0.09
"often",0.09
"per",0.09
"phones",0.09
"price",0.09
"purchased",0.09
"safe",0.09
"sell",0.09
"tend",0.09
"tickets",0.09
"tipping",0.09
"use",0.09
"usually",0.09
"without",0.09
"'re",0.08
"accepts",0.08
"account",0.08
"amount",0.08
"anywhere",0.08
"aware",0.08
"bargaining",0.08
"book",0.08
"certain",0.08
"change",0.08
"charges",0.08
"cheap",0.08
"citizens",0.08
"conductor",0.08
"cost",0.08
"departure",0.08
"deposit",0.08
"driver",0.08
"ensure",0.08
"enter",0.08
"fare",0.08
"fees",0.08
"free",0.08
"higher",0.08
"idea",0.08
"illegal",0.08
"insist",0.08
"insurance",0.08
"know",0.08
"license",0.08
"likely",0.08
"must",0.08
"networks",0.08
"never",0.08
"normal",0.08
"numbers",0.08
"obtained",0.08
"offer",0.08
"offices",0.08
"passports",0.08
"person",0.08
"rates",0.08
"refuse",0.08
"regardless",0.08
"require",0.08
"seats",0.08
"security",0.08
"single",0.08
"someone",0.08
"sometimes",0.08
"stamp",0.08
"tax",0.08
"ticket",0.08
"travellers",0.08
"usd",0.08
"valuables",0.08
"want",0.08
"wear",0.08
"work",0.08
"allow",0.07
"although",0.07
"anything",0.07
"asked",0.07
"careful",0.07
"compared",0.07
"fares",0.07
"find",0.07
"friendly",0.07
"hard",0.07
"introduced",0.07
"issue",0.07
"leave",0.07
"limited",0.07
"list",0.07
"low",0.07
"mind",0.07
"minimum",0.07
"mosquito",0.07
"normally",0.07
"official",0.07
"order",0.07
"others",0.07
"plus",0.07
"probably",0.07
"problems",0.07
"proper",0.07
"receive",0.07
"reliable",0.07
"remember",0.07
"risk",0.07
"rules",0.07
"save",0.07
"similar",0.07
"tap",0.07
"unless",0.07
"uses",0.07
"using",0.07
"widely",0.07
"will",0.07
