"","certainly"
"almost",0.11
"even",0.1
"much",0.1
"''''",0.09
"always",0.09
"drivers",0.09
"expect",0.09
"foreign",0.09
"often",0.09
"will",0.09
"without",0.09
"worth",0.09
"although",0.08
"ask",0.08
"countries",0.08
"expensive",0.08
"generally",0.08
"keep",0.08
"languages",0.08
"likely",0.08
"make",0.08
"might",0.08
"money",0.08
"need",0.08
"pay",0.08
"prices",0.08
"situation",0.08
"sometimes",0.08
"typically",0.08
"violence",0.08
"already",0.07
"anything",0.07
"avoid",0.07
"especially",0.07
"least",0.07
"paying",0.07
"police",0.07
"probably",0.07
"quite",0.07
"sure",0.07
"tap",0.07
