"","change"
"trains",0.16
"money",0.15
"pay",0.14
"train",0.13
"valid",0.13
"visa",0.13
"accept",0.12
"buses",0.12
"changing",0.12
"cost",0.12
"exchange",0.12
"jr",0.12
"longer",0.12
"need",0.12
"often",0.12
"bus",0.11
"card",0.11
"cheaper",0.11
"currency",0.11
"direct",0.11
"expensive",0.11
"leave",0.11
"may",0.11
"note",0.11
"shinkansen",0.11
"station",0.11
"take",0.11
"ticket",0.11
"tickets",0.11
"travel",0.11
"use",0.11
"usually",0.11
"will",0.11
"avoid",0.1
"better",0.1
"cards",0.1
"credit",0.1
"dollars",0.1
"either",0.1
"english",0.1
"extra",0.1
"generally",0.1
"japan",0.1
"line",0.1
"make",0.1
"might",0.1
"passport",0.1
"rate",0.1
"require",0.1
"takes",0.1
"using",0.1
"visas",0.1
"always",0.09
"ask",0.09
"atms",0.09
"aware",0.09
"baggage",0.09
"buy",0.09
"charge",0.09
"cheap",0.09
"costs",0.09
"customs",0.09
"depart",0.09
"depending",0.09
"driver",0.09
"drivers",0.09
"especially",0.09
"even",0.09
"get",0.09
"hours",0.09
"journey",0.09
"least",0.09
"notes",0.09
"officers",0.09
"offices",0.09
"price",0.09
"prices",0.09
"stop",0.09
"taking",0.09
"travellers",0.09
"without",0.09
"advance",0.08
"although",0.08
"atm",0.08
"bit",0.08
"bought",0.08
"cash",0.08
"catch",0.08
"check",0.08
"coins",0.08
"common",0.08
"countries",0.08
"embassy",0.08
"european",0.08
"every",0.08
"exact",0.08
"expect",0.08
"fee",0.08
"find",0.08
"foreign",0.08
"foreigners",0.08
"go",0.08
"instead",0.08
"keep",0.08
"know",0.08
"leaves",0.08
"limited",0.08
"much",0.08
"network",0.08
"normally",0.08
"paying",0.08
"per",0.08
"police",0.08
"possible",0.08
"prepaid",0.08
"rather",0.08
"run",0.08
"seem",0.08
"services",0.08
"simply",0.08
"slightly",0.08
"sometimes",0.08
"stations",0.08
"sure",0.08
"tend",0.08
"terminal",0.08
"time",0.08
"times",0.08
"traffic",0.08
"trip",0.08
"vending",0.08
"want",0.08
"'re",0.07
"accepted",0.07
"allow",0.07
"asking",0.07
"bags",0.07
"coming",0.07
"connection",0.07
"difficult",0.07
"enter",0.07
"entry",0.07
"fare",0.07
"getting",0.07
"give",0.07
"higher",0.07
"hour",0.07
"illegal",0.07
"issue",0.07
"less",0.07
"likely",0.07
"machines",0.07
"next",0.07
"normal",0.07
"obtain",0.07
"office",0.07
"option",0.07
"outside",0.07
"paid",0.07
"passengers",0.07
"people",0.07
"plastic",0.07
"prepared",0.07
"probably",0.07
"problem",0.07
"problems",0.07
"quite",0.07
"refuse",0.07
"stay",0.07
"still",0.07
"surcharge",0.07
"though",0.07
"tipping",0.07
"transport",0.07
"wait",0.07
"way",0.07
"weather",0.07
