"","charged"
"fee",0.16
"card",0.12
"charge",0.12
"cards",0.11
"expensive",0.11
"prepaid",0.11
"unless",0.11
"accept",0.1
"avoid",0.1
"cases",0.1
"cost",0.1
"driver",0.1
"extra",0.1
"fees",0.1
"money",0.1
"paid",0.1
"pay",0.1
"price",0.1
"renting",0.1
"staying",0.1
"apply",0.09
"cheaper",0.09
"costs",0.09
"credit",0.09
"drivers",0.09
"insurance",0.09
"legal",0.09
"note",0.09
"paying",0.09
"payment",0.09
"sim",0.09
"tipping",0.09
"typically",0.09
"usually",0.09
"valid",0.09
"visa",0.09
"additional",0.08
"booking",0.08
"currency",0.08
"depending",0.08
"even",0.08
"expect",0.08
"foreign",0.08
"generally",0.08
"getting",0.08
"higher",0.08
"illegal",0.08
"laws",0.08
"may",0.08
"mind",0.08
"minimum",0.08
"notes",0.08
"numbers",0.08
"passport",0.08
"per",0.08
"phones",0.08
"prices",0.08
"problem",0.08
"pronounced",0.08
"require",0.08
"sometimes",0.08
"surcharge",0.08
"tax",0.08
"use",0.08
"advance",0.07
"applies",0.07
"arrivals",0.07
"asking",0.07
"available",0.07
"better",0.07
"buying",0.07
"carry",0.07
"choice",0.07
"common",0.07
"countries",0.07
"data",0.07
"debit",0.07
"exchange",0.07
"foreigners",0.07
"insist",0.07
"keep",0.07
"maximum",0.07
"might",0.07
"often",0.07
"option",0.07
"passengers",0.07
"person",0.07
"planning",0.07
"rate",0.07
"risk",0.07
"sure",0.07
"tend",0.07
"ticket",0.07
"tourists",0.07
"vary",0.07
"will",0.07
"without",0.07
