"","charges"
"charge",0.13
"foreigners",0.1
"prepaid",0.1
"rs",0.1
"accept",0.09
"advisable",0.09
"auto",0.09
"budget",0.09
"cards",0.09
"cost",0.09
"drivers",0.09
"india",0.09
"money",0.09
"nominal",0.09
"pay",0.09
"ac",0.08
"accepted",0.08
"avoid",0.08
"better",0.08
"booking",0.08
"card",0.08
"cash",0.08
"charging",0.08
"cover",0.08
"credit",0.08
"driver",0.08
"extra",0.08
"foreign",0.08
"hindu",0.08
"internet",0.08
"networks",0.08
"note",0.08
"paid",0.08
"paying",0.08
"payment",0.08
"per",0.08
"queue",0.08
"rates",0.08
"refuse",0.08
"temple",0.08
"usage",0.08
"advance",0.07
"always",0.07
"apply",0.07
"asking",0.07
"atms",0.07
"bank",0.07
"book",0.07
"buses",0.07
"cheap",0.07
"cheaper",0.07
"delhi",0.07
"fare",0.07
"generally",0.07
"indian",0.07
"insist",0.07
"janhigh",0.07
"like",0.07
"maylow",0.07
"need",0.07
"negotiate",0.07
"novprecip",0.07
"others",0.07
"price",0.07
"rickshaws",0.07
"sim",0.07
"stand",0.07
"though",0.07
"tipping",0.07
"unless",0.07
"vary",0.07
"will",0.07
