"","cheap"
"expensive",0.19
"prices",0.18
"food",0.17
"good",0.17
"ask",0.16
"cost",0.16
"driver",0.16
"expect",0.16
"pay",0.16
"price",0.16
"taxi",0.16
"taxis",0.16
"try",0.16
"cheaper",0.15
"night",0.15
"usually",0.15
"beer",0.14
"buy",0.14
"cheapest",0.14
"clean",0.14
"drivers",0.14
"find",0.14
"friendly",0.14
"get",0.14
"quite",0.14
"staff",0.14
"want",0.14
"will",0.14
"always",0.13
"avoid",0.13
"bars",0.13
"better",0.13
"bit",0.13
"budget",0.13
"charge",0.13
"decent",0.13
"hotels",0.13
"money",0.13
"nice",0.13
"'s",0.12
"around",0.12
"beware",0.12
"buses",0.12
"costs",0.12
"drink",0.12
"drinks",0.12
"especially",0.12
"foreigners",0.12
"generally",0.12
"internet",0.12
"like",0.12
"locals",0.12
"look",0.12
"make",0.12
"might",0.12
"next",0.12
"often",0.12
"place",0.12
"quality",0.12
"sell",0.12
"sometimes",0.12
"sure",0.12
"without",0.12
"worth",0.12
"another",0.11
"best",0.11
"big",0.11
"buying",0.11
"can",0.11
"card",0.11
"clubs",0.11
"compared",0.11
"english",0.11
"even",0.11
"exchange",0.11
"floor",0.11
"go",0.11
"know",0.11
"lot",0.11
"lots",0.11
"offer",0.11
"option",0.11
"outside",0.11
"per",0.11
"pick",0.11
"places",0.11
"police",0.11
"prepaid",0.11
"really",0.11
"rooms",0.11
"safe",0.11
"slightly",0.11
"tasty",0.11
"tend",0.11
"'ll",0.1
"'re",0.1
"accept",0.1
"asking",0.1
"atms",0.1
"bus",0.1
"cards",0.1
"check",0.1
"chinese",0.1
"common",0.1
"companies",0.1
"crowded",0.1
"currency",0.1
"depending",0.1
"dishes",0.1
"eat",0.1
"excellent",0.1
"extra",0.1
"fare",0.1
"fast",0.1
"foreign",0.1
"free",0.1
"front",0.1
"going",0.1
"hard",0.1
"little",0.1
"market",0.1
"may",0.1
"meal",0.1
"meat",0.1
"much",0.1
"paying",0.1
"rate",0.1
"rates",0.1
"reasonable",0.1
"reasonably",0.1
"relatively",0.1
"restaurant",0.1
"right",0.1
"run",0.1
"selling",0.1
"serve",0.1
"speak",0.1
"streets",0.1
"though",0.1
"ticket",0.1
"tickets",0.1
"use",0.1
"visa",0.1
"able",0.09
"almost",0.09
"although",0.09
"anywhere",0.09
"away",0.09
"bar",0.09
"bargain",0.09
"beers",0.09
"book",0.09
"busy",0.09
"careful",0.09
"change",0.09
"choice",0.09
"city's",0.09
"close",0.09
"clothes",0.09
"cocktails",0.09
"day",0.09
"definitely",0.09
"delicious",0.09
"dorms",0.09
"european",0.09
"every",0.09
"expats",0.09
"extremely",0.09
"fairly",0.09
"fares",0.09
"fixed",0.09
"found",0.09
"fresh",0.09
"fruit",0.09
"getting",0.09
"give",0.09
"great",0.09
"help",0.09
"helpful",0.09
"hotel",0.09
"huge",0.09
"insist",0.09
"instead",0.09
"just",0.09
"leave",0.09
"less",0.09
"loud",0.09
"luggage",0.09
"menu",0.09
"mid-range",0.09
"modern",0.09
"mostly",0.09
"music",0.09
"must",0.09
"need",0.09
"nightlife",0.09
"note",0.09
"offering",0.09
"order",0.09
"paid",0.09
"passport",0.09
"people",0.09
"pretty",0.09
"priced",0.09
"private",0.09
"probably",0.09
"problem",0.09
"rarely",0.09
"rather",0.09
"room",0.09
"see",0.09
"shared",0.09
"similar",0.09
"simple",0.09
"single",0.09
"sold",0.09
"start",0.09
"stay",0.09
"student",0.09
"style",0.09
"terminal",0.09
"tourist",0.09
"tourists",0.09
"trying",0.09
"vegetarian",0.09
"wait",0.09
"wifi",0.09
"women",0.09
"young",0.09
"advance",0.08
"agree",0.08
"alcohol",0.08
"anything",0.08
"arrive",0.08
"atmosphere",0.08
"authentic",0.08
"available",0.08
"basic",0.08
"bathroom",0.08
"blocks",0.08
"booking",0.08
"bottles",0.08
"bought",0.08
"cafes",0.08
"call",0.08
"called",0.08
"cash",0.08
"catch",0.08
"chicken",0.08
"coffee",0.08
"come",0.08
"countries",0.08
"credit",0.08
"crowd",0.08
"dance",0.08
"different",0.08
"difficult",0.08
"dish",0.08
"dorm",0.08
"drinking",0.08
"drunk",0.08
"due",0.08
"easy",0.08
"everywhere",0.08
"far",0.08
"feel",0.08
"fried",0.08
"grilled",0.08
"hand",0.08
"higher",0.08
"highly",0.08
"hostel",0.08
"hostels",0.08
"hours",0.08
"however",0.08
"idea",0.08
"imported",0.08
"inside",0.08
"keep",0.08
"let",0.08
"likely",0.08
"local",0.08
"longer",0.08
"looking",0.08
"low",0.08
"luxury",0.08
