"","chicken"
"fried",0.29
"beef",0.15
"menu",0.15
"pork",0.15
"curry",0.14
"food",0.14
"rice",0.14
"dishes",0.13
"restaurant",0.13
"authentic",0.12
"grilled",0.12
"noodles",0.12
"delicious",0.11
"sauce",0.11
"serves",0.11
"baked",0.1
"bbq",0.1
"chinese",0.1
"coffee",0.1
"dish",0.1
"jalan",0.1
"meat",0.1
"salad",0.1
"soup",0.1
"spicy",0.1
"variety",0.1
"wings",0.1
"brand",0.09
"business",0.09
"cooked",0.09
"drink",0.09
"fresh",0.09
"hot",0.09
"pizza",0.09
"prices",0.09
"seafood",0.09
"shop",0.09
"steamed",0.09
"sweet",0.09
"tasty",0.09
"try",0.09
"ask",0.08
"bakery",0.08
"bar",0.08
"barbecue",0.08
"cheap",0.08
"coconut",0.08
"cuisine",0.08
"dining",0.08
"dinner",0.08
"fast",0.08
"favorite",0.08
"items",0.08
"karaoke",0.08
"like",0.08
"lunch",0.08
"malls",0.08
"meal",0.08
"pastries",0.08
"peanut",0.08
"plaza",0.08
"roasted",0.08
"selection",0.08
"serving",0.08
"sold",0.08
"suites",0.08
"vegetarian",0.08
"wrapped",0.08
"always",0.07
"egg",0.07
"free",0.07
"fun",0.07
"good",0.07
"imported",0.07
"internet",0.07
"live",0.07
"mall",0.07
"noodle",0.07
"sandwiches",0.07
"serve",0.07
"specialty",0.07
"spice",0.07
"store",0.07
"tastes",0.07
"vegetable",0.07
