"","choice"
"good",0.12
"prices",0.11
"night",0.1
"reasonable",0.1
"always",0.09
"bars",0.09
"cheap",0.09
"excellent",0.09
"expect",0.09
"friendly",0.09
"menu",0.09
"offer",0.09
"pay",0.09
"price",0.09
"want",0.09
"wide",0.09
"avoid",0.08
"beer",0.08
"best",0.08
"better",0.08
"bit",0.08
"budget",0.08
"cheaper",0.08
"check",0.08
"choose",0.08
"clubs",0.08
"dishes",0.08
"drinks",0.08
"drivers",0.08
"even",0.08
"expensive",0.08
"fare",0.08
"find",0.08
"food",0.08
"just",0.08
"make",0.08
"money",0.08
"offering",0.08
"offers",0.08
"often",0.08
"open",0.08
"opposite",0.08
"popular",0.08
"quality",0.08
"staff",0.08
"style",0.08
"sure",0.08
"usually",0.08
"value",0.08
"well",0.08
"will",0.08
"bar",0.07
"cards",0.07
"charged",0.07
"drink",0.07
"free",0.07
"great",0.07
"little",0.07
"lunch",0.07
"next",0.07
"paying",0.07
"place",0.07
"places",0.07
"pubs",0.07
"quite",0.07
"range",0.07
"real",0.07
"really",0.07
"restaurant",0.07
"rooms",0.07
"selection",0.07
"start",0.07
"staying",0.07
"tend",0.07
"unless",0.07
"variety",0.07
"vegetarian",0.07
