"","city's"
"city",0.19
"building",0.13
"art",0.12
"collection",0.12
"downtown",0.12
"streets",0.12
"university",0.12
"fares",0.11
"founded",0.11
"museum",0.11
"shopping",0.11
"vending",0.11
"aprhigh",0.1
"aprprecip",0.1
"aughigh",0.1
"auglow",0.1
"augprecip",0.1
"cathedral",0.1
"center",0.1
"central",0.1
"clubs",0.1
"concert",0.1
"decprecip",0.1
"febhigh",0.1
"febprecip",0.1
"janhigh",0.1
"janlow",0.1
"janprecip",0.1
"jullow",0.1
"julprecip",0.1
"junprecip",0.1
"machines",0.1
"marhigh",0.1
"marprecip",0.1
"mayhigh",0.1
"maylow",0.1
"mayprecip",0.1
"music",0.1
"novhigh",0.1
"novlow",0.1
"novprecip",0.1
"octlow",0.1
"octprecip",0.1
"sephigh",0.1
"seplow",0.1
"sepprecip",0.1
"square",0.1
"student",0.1
"aprlow",0.09
"arts",0.09
"avenues",0.09
"buildings",0.09
"business",0.09
"centro",0.09
"cheap",0.09
"dechigh",0.09
"declow",0.09
"designed",0.09
"feblow",0.09
"former",0.09
"historic",0.09
"history",0.09
"housed",0.09
"julhigh",0.09
"junhigh",0.09
"junlow",0.09
"mall",0.09
"marlow",0.09
"museums",0.09
"octhigh",0.09
"serves",0.09
"stadium",0.09
"theater",0.09
"venues",0.09
"bars",0.08
"blocks",0.08
"chain",0.08
"convention",0.08
"cultural",0.08
"electronic",0.08
"especially",0.08
"events",0.08
"first",0.08
"gay",0.08
"hall",0.08
"hip",0.08
"hosts",0.08
"industrial",0.08
"italian",0.08
"lines",0.08
"major",0.08
"malls",0.08
"modern",0.08
"oldest",0.08
"public",0.08
"reputation",0.08
"second",0.08
"shows",0.08
"stores",0.08
"street'''",0.08
"students",0.08
"sushi",0.08
"system",0.08
"teams",0.08
"tickets",0.08
"trade",0.08
"traffic",0.08
"trendy",0.08
"upscale",0.08
"urban",0.08
"works",0.08
"american",0.07
"among",0.07
"become",0.07
"built",0.07
"cabs",0.07
"chains",0.07
"cities",0.07
"civic",0.07
"commercial",0.07
"contains",0.07
"dance",0.07
"dedicated",0.07
"dos",0.07
"early",0.07
"exhibits",0.07
"features",0.07
"film",0.07
"late",0.07
"locations",0.07
"metric",0.07
"museum's",0.07
"network",0.07
"new",0.07
"now",0.07
"pedestrian",0.07
"planned",0.07
"plaza",0.07
"regional",0.07
"scene",0.07
"suburban",0.07
"terminal",0.07
"theatre",0.07
"throughout",0.07
"ticket",0.07
"usually",0.07
