"","classes"
"yoga",0.16
"lessons",0.14
"teach",0.13
"teachers",0.13
"school",0.12
"cooking",0.11
"learn",0.11
"students",0.11
"workshops",0.11
"art",0.1
"courses",0.1
"programs",0.1
"rooftop",0.1
"education",0.09
"group",0.09
"learning",0.09
"live",0.09
"massage",0.09
"variety",0.09
"calendar",0.08
"corner",0.08
"dance",0.08
"free",0.08
"fun",0.08
"individual",0.08
"offer",0.08
"offering",0.08
"offers",0.08
"prices",0.08
"salad",0.08
"schools",0.08
"spanish",0.08
"vegetarian",0.08
"young",0.08
"always",0.07
"arts",0.07
"check",0.07
"coffee",0.07
"floor",0.07
"helpful",0.07
"homemade",0.07
"meditation",0.07
"music",0.07
"offered",0.07
"open",0.07
"private",0.07
"quality",0.07
"roof",0.07
"salsa",0.07
"social",0.07
"special",0.07
"staff",0.07
