"","classic"
"american",0.13
"dining",0.12
"features",0.11
"avenue",0.1
"diner",0.1
"downtown",0.1
"gourmet",0.1
"italian",0.1
"live",0.1
"menu",0.1
"music",0.1
"pizza",0.1
"sandwiches",0.1
"vintage",0.1
"art",0.09
"bar",0.09
"casual",0.09
"dinner",0.09
"events",0.09
"featuring",0.09
"fine",0.09
"lunch",0.09
"movie",0.09
"offers",0.09
"outdoor",0.09
"selection",0.09
"shows",0.09
"theater",0.09
"theatre",0.09
"upscale",0.09
"arts",0.08
"atmosphere",0.08
"ave",0.08
"baked",0.08
"beers",0.08
"blvd",0.08
"children's",0.08
"club",0.08
"coffee",0.08
"concerts",0.08
"cuisine",0.08
"eclectic",0.08
"favorite",0.08
"historic",0.08
"ice",0.08
"inn",0.08
"jazz",0.08
"musical",0.08
"new",0.08
"original",0.08
"parking",0.08
"phone",0.08
"plays",0.08
"restaurant",0.08
"st",0.08
"street",0.08
"sushi",0.08
"thursday",0.08
"variety",0.08
"authentic",0.07
"bands",0.07
"breakfast",0.07
"concert",0.07
"cream",0.07
"desserts",0.07
"entrees",0.07
"everything",0.07
"food",0.07
"fun",0.07
"great",0.07
"indoor",0.07
"open",0.07
"patio",0.07
"sa",0.07
"salads",0.07
"serves",0.07
"wine",0.07
