"","clean"
"rooms",0.25
"friendly",0.18
"bathroom",0.16
"room",0.16
"bathrooms",0.15
"double",0.15
"good",0.15
"internet",0.15
"staff",0.15
"budget",0.14
"cheap",0.14
"nice",0.14
"owner",0.14
"price",0.14
"prices",0.14
"ask",0.13
"cost",0.13
"guesthouse",0.13
"hotel",0.13
"air-con",0.12
"bit",0.12
"breakfast",0.12
"helpful",0.12
"hot",0.12
"night",0.12
"pay",0.12
"per",0.12
"private",0.12
"shared",0.12
"better",0.11
"cheaper",0.11
"dorms",0.11
"driver",0.11
"expect",0.11
"expensive",0.11
"fan",0.11
"food",0.11
"hostel",0.11
"place",0.11
"quite",0.11
"simple",0.11
"taxi",0.11
"taxis",0.11
"try",0.11
"tv",0.11
"wifi",0.11
"basic",0.1
"charge",0.1
"cheapest",0.1
"decent",0.1
"dorm",0.1
"english",0.1
"front",0.1
"hotels",0.1
"leave",0.1
"money",0.1
"motorbike",0.1
"next",0.1
"option",0.1
"quiet",0.1
"right",0.1
"rooftop",0.1
"spacious",0.1
"touts",0.1
"walk",0.1
"will",0.1
"always",0.09
"around",0.09
"arrange",0.09
"balcony",0.09
"block",0.09
"blocks",0.09
"bungalows",0.09
"buses",0.09
"buy",0.09
"costs",0.09
"drivers",0.09
"excellent",0.09
"find",0.09
"floor",0.09
"free",0.09
"get",0.09
"guest",0.09
"included",0.09
"little",0.09
"look",0.09
"make",0.09
"might",0.09
"noisy",0.09
"owners",0.09
"person",0.09
"reasonable",0.09
"restaurant",0.09
"sell",0.09
"shower",0.09
"showers",0.09
"single",0.09
"speaks",0.09
"toilet",0.09
"vegetarian",0.09
"wi-fi",0.09
"without",0.09
"'s",0.08
"air",0.08
"atm",0.08
"atms",0.08
"avoid",0.08
"back",0.08
"behind",0.08
"best",0.08
"big",0.08
"cable",0.08
"chill",0.08
"cold",0.08
"come",0.08
"dishes",0.08
"fee",0.08
"foreign",0.08
"give",0.08
"go",0.08
"guide",0.08
"help",0.08
"laundry",0.08
"let",0.08
"lobby",0.08
"locals",0.08
"modern",0.08
"mosquito",0.08
"need",0.08
"offer",0.08
"opposite",0.08
"pick",0.08
"quality",0.08
"rate",0.08
"really",0.08
"rice",0.08
"ride",0.08
"run",0.08
"sign",0.08
"speaking",0.08
"stalls",0.08
"standard",0.08
"sure",0.08
"swimming",0.08
"tasty",0.08
"terminal",0.08
"tourists",0.08
"trip",0.08
"value",0.08
"view",0.08
"wait",0.08
"want",0.08
"water",0.08
"attached",0.07
"balconies",0.07
"bamboo",0.07
"beware",0.07
"book",0.07
"cafes",0.07
"calle",0.07
"cards",0.07
"couple",0.07
"depending",0.07
"drink",0.07
"entrance",0.07
"even",0.07
"foreigners",0.07
"hostels",0.07
"inside",0.07
"insist",0.07
"juice",0.07
"just",0.07
"know",0.07
"luggage",0.07
"may",0.07
"meal",0.07
"mid-range",0.07
"minibus",0.07
"paying",0.07
"pool",0.07
"roof",0.07
"safe",0.07
"selling",0.07
"side",0.07
"somewhat",0.07
"spend",0.07
"standards",0.07
"stay",0.07
"though",0.07
"travellers",0.07
"triple",0.07
"vendors",0.07
