"","close"
"proximity",0.12
"bars",0.1
"good",0.1
"quite",0.1
"centre",0.09
"cheap",0.09
"every",0.09
"expensive",0.09
"modern",0.09
"nice",0.09
"night",0.09
"offer",0.09
"often",0.09
"pay",0.09
"staff",0.09
"well",0.09
"'s",0.08
"although",0.08
"always",0.08
"around",0.08
"avoid",0.08
"budget",0.08
"companies",0.08
"english",0.08
"especially",0.08
"even",0.08
"excellent",0.08
"find",0.08
"free",0.08
"friendly",0.08
"hostel",0.08
"hotel",0.08
"internet",0.08
"might",0.08
"next",0.08
"note",0.08
"places",0.08
"price",0.08
"prices",0.08
"quiet",0.08
"rather",0.08
"rooms",0.08
"tourist",0.08
"try",0.08
"usually",0.08
"want",0.08
"best",0.07
"cheaper",0.07
"different",0.07
"go",0.07
"keep",0.07
"least",0.07
"like",0.07
"look",0.07
"outside",0.07
"quality",0.07
"right",0.07
"shopping",0.07
"tickets",0.07
"walk",0.07
"wifi",0.07
"without",0.07
"worth",0.07
