"","connected"
"india",0.17
"well",0.16
"railway",0.15
"temple",0.15
"delhi",0.14
"cities",0.13
"km",0.12
"lord",0.12
"nearest",0.12
"major",0.11
"shiva",0.11
"tamil",0.11
"district",0.1
"famous",0.1
"mainland",0.1
"mumbai",0.1
"nh",0.1
"auto",0.09
"important",0.09
"kms",0.09
"network",0.09
"parts",0.09
"rs",0.09
"temple'''",0.09
"also",0.08
"colleges",0.08
"connect",0.08
"gauge",0.08
"indian",0.08
"rail",0.08
"rickshaws",0.08
"situated",0.08
"temples",0.08
"trains",0.08
"airport",0.07
"form",0.07
"raja",0.07
