"","consumed"
"eaten",0.13
"educated",0.12
"countries",0.11
"widely",0.11
"commonly",0.1
"exceptions",0.1
"languages",0.09
"sour",0.09
"spoken",0.09
"visas",0.09
"asia",0.08
"common",0.08
"cooked",0.08
"currency",0.08
"discuss",0.08
"dish",0.08
"india",0.08
"introduced",0.08
"language",0.08
"muslims",0.08
"passport",0.08
"passports",0.08
"rude",0.08
"tipping",0.08
"varieties",0.08
"considered",0.07
"curries",0.07
"drink",0.07
"expected",0.07
"foreign",0.07
"made",0.07
"rice",0.07
"steamed",0.07
"tomato",0.07
