"","country"
"countries",0.14
"club",0.13
"visas",0.12
"currency",0.11
"embassy",0.11
"visa",0.11
"citizens",0.1
"country's",0.1
"golf",0.1
"nation",0.1
"farm",0.09
"historic",0.09
"home",0.09
"languages",0.09
"miles",0.09
"political",0.09
"regions",0.09
"rural",0.09
"throughout",0.09
"african",0.08
"areas",0.08
"civil",0.08
"common",0.08
"county",0.08
"driving",0.08
"embassies",0.08
"inn",0.08
"legal",0.08
"national",0.08
"obtain",0.08
"par",0.08
"phone",0.08
"towns",0.08
"us",0.08
"accepted",0.07
"american",0.07
"code",0.07
"coins",0.07
"england",0.07
"largest",0.07
"legally",0.07
"music",0.07
"official",0.07
"region",0.07
"west",0.07
