"","criminal"
"incidents",0.12
"violent",0.12
"sim",0.11
"violence",0.11
"avoid",0.1
"card",0.1
"citizens",0.1
"drug",0.1
"drugs",0.1
"illegal",0.1
"insurance",0.1
"possession",0.1
"countries",0.09
"legal",0.09
"notorious",0.09
"passport",0.09
"police",0.09
"safe",0.09
"unable",0.09
"assume",0.08
"cases",0.08
"currency",0.08
"law",0.08
"laws",0.08
"obtain",0.08
"prepaid",0.08
"reported",0.08
"respect",0.08
"theft",0.08
"tipping",0.08
"visas",0.08
"widespread",0.08
"documents",0.07
"gsm",0.07
"political",0.07
"rate",0.07
"regions",0.07
"report",0.07
"serious",0.07
"situation",0.07
"unless",0.07
"unsafe",0.07
"valid",0.07
"visa",0.07
