"","crossings"
"border",0.15
"visa",0.14
"currency",0.13
"visas",0.13
"crossing",0.12
"countries",0.11
"passport",0.11
"regions",0.1
"citizens",0.09
"customs",0.09
"foreign",0.09
"generally",0.09
"obtain",0.09
"offices",0.09
"police",0.09
"political",0.09
"remote",0.09
"use",0.09
"widely",0.09
"accept",0.08
"accepted",0.08
"always",0.08
"areas",0.08
"buying",0.08
"coverage",0.08
"embassy",0.08
"exchange",0.08
"insurance",0.08
"languages",0.08
"legal",0.08
"likely",0.08
"may",0.08
"notes",0.08
"often",0.08
"passports",0.08
"stamp",0.08
"vehicle",0.08
"violence",0.08
"widespread",0.08
"without",0.08
"apply",0.07
"avoid",0.07
"common",0.07
"dollars",0.07
"exception",0.07
"illegal",0.07
"language",0.07
"mobile",0.07
"official",0.07
"overland",0.07
"passengers",0.07
"politics",0.07
"prepaid",0.07
"respect",0.07
"rules",0.07
"sim",0.07
"situation",0.07
"tipping",0.07
