"","cultural"
"culture",0.14
"important",0.14
"heritage",0.13
"historical",0.13
"events",0.12
"history",0.12
"rich",0.12
"world",0.12
"art",0.11
"capital",0.11
"center",0.11
"cities",0.1
"european",0.1
"festival",0.1
"foreign",0.1
"language",0.1
"largest",0.1
"modern",0.1
"museum",0.1
"natural",0.1
"unique",0.1
"arts",0.09
"classical",0.09
"considered",0.09
"countries",0.09
"dance",0.09
"diversity",0.09
"economic",0.09
"first",0.09
"museums",0.09
"music",0.09
"often",0.09
"oldest",0.09
"political",0.09
"region",0.09
"relics",0.09
"religious",0.09
"strong",0.09
"traditions",0.09
"urban",0.09
"widely",0.09
"ancient",0.08
"artists",0.08
"city's",0.08
"collection",0.08
"common",0.08
"distinct",0.08
"diverse",0.08
"ethnic",0.08
"exhibits",0.08
"famous",0.08
"former",0.08
"hosts",0.08
"known",0.08
"life",0.08
"part",0.08
"parts",0.08
"pedro",0.08
"rule",0.08
"second",0.08
"social",0.08
"university",0.08
"used",0.08
"valuable",0.08
"well",0.08
"work",0.08
"years",0.08
"among",0.07
"areas",0.07
"building",0.07
"catholic",0.07
"centers",0.07
"central",0.07
"centro",0.07
"city",0.07
"culturally",0.07
"different",0.07
"especially",0.07
"europe",0.07
"exhibition",0.07
"experience",0.07
"festivals",0.07
"find",0.07
"found",0.07
"founded",0.07
"groups",0.07
"importance",0.07
"individual",0.07
"influence",0.07
"influences",0.07
"languages",0.07
"made",0.07
"million",0.07
"monuments",0.07
"nations",0.07
"official",0.07
"performed",0.07
"protestant",0.07
"regions",0.07
"sites",0.07
"spoken",0.07
"still",0.07
"student",0.07
"various",0.07
"visitors",0.07
