"","da"
"dos",0.45
"das",0.42
"centro",0.39
"de",0.36
"brazilian",0.28
"portuguese",0.24
"africa",0.22
"rio",0.22
"santo",0.21
"grande",0.2
"pedro",0.2
"municipal",0.19
"porto",0.19
"default",0.17
"jesus",0.16
"avenida",0.15
"francisco",0.15
"nacional",0.15
"nova",0.14
"verde",0.14
"carlos",0.13
"colonial",0.13
"maria",0.13
"antonio",0.11
"casa",0.11
"monte",0.11
"ecological",0.1
"km",0.1
"mar",0.1
"touristic",0.1
"atlantic",0.09
"beaches",0.09
"passion",0.09
"santa",0.09
"christ",0.08
"city",0.08
"parque",0.08
"receives",0.08
"beach",0.07
"costa",0.07
