"","dangerous"
"safe",0.17
"strongly",0.17
"''''''",0.16
"consult",0.16
"armed",0.15
"risk",0.14
"situation",0.14
"avoid",0.13
"conflict",0.13
"crime",0.13
"extremely",0.13
"safer",0.13
"violent",0.13
"westerners",0.13
"advised",0.12
"attacks",0.12
"government",0.12
"security",0.12
"common",0.11
"considered",0.11
"especially",0.11
"even",0.11
"illegal",0.11
"often",0.11
"travelling",0.11
"always",0.1
"areas",0.1
"attack",0.1
"countries",0.1
"due",0.1
"embassies",0.1
"islamic",0.1
"police",0.1
"sim",0.1
"unsafe",0.1
"alone",0.09
"attempting",0.09
"aware",0.09
"careful",0.09
"caution",0.09
"citizens",0.09
"consider",0.09
"currents",0.09
"drivers",0.09
"drug",0.09
"embassy",0.09
"expensive",0.09
"gang",0.09
"generally",0.09
"highly",0.09
"keep",0.09
"likely",0.09
"may",0.09
"occur",0.09
"poor",0.09
"regions",0.09
"sometimes",0.09
"travel",0.09
"african",0.08
"avoided",0.08
"card",0.08
"carry",0.08
"cities",0.08
"concern",0.08
"currency",0.08
"driving",0.08
"earth",0.08
"foreign",0.08
"guard",0.08
"know",0.08
"least",0.08
"make",0.08
"money",0.08
"much",0.08
"must",0.08
"overland",0.08
"passport",0.08
"patrol",0.08
"political",0.08
"possible",0.08
"potential",0.08
"problem",0.08
"respect",0.08
"rules",0.08
"sure",0.08
"unless",0.08
"usually",0.08
"violence",0.08
"visa",0.08
"visas",0.08
"wear",0.08
"without",0.08
"accept",0.07
"advise",0.07
"almost",0.07
"although",0.07
"cards",0.07
"care",0.07
"certain",0.07
"control",0.07
"dollars",0.07
"expect",0.07
"extreme",0.07
"largely",0.07
"legal",0.07
"legally",0.07
"less",0.07
"mind",0.07
"otherwise",0.07
"prepaid",0.07
"recent",0.07
"relatively",0.07
"safest",0.07
"still",0.07
"strong",0.07
"tend",0.07
"tourists",0.07
