"","decent"
"food",0.14
"good",0.14
"cheap",0.13
"prices",0.13
"nice",0.12
"expect",0.11
"find",0.11
"rooms",0.11
"try",0.11
"'re",0.1
"better",0.1
"bit",0.1
"clean",0.1
"option",0.1
"pay",0.1
"price",0.1
"really",0.1
"selection",0.1
"'s",0.09
"always",0.09
"avoid",0.09
"beer",0.09
"budget",0.09
"charge",0.09
"cheaper",0.09
"couple",0.09
"dishes",0.09
"even",0.09
"expensive",0.09
"friendly",0.09
"get",0.09
"hotels",0.09
"menu",0.09
"place",0.09
"priced",0.09
"reasonable",0.09
"restaurant",0.09
"sell",0.09
"simple",0.09
"slightly",0.09
"staff",0.09
"will",0.09
"'ll",0.08
"ask",0.08
"bar",0.08
"bars",0.08
"bathroom",0.08
"best",0.08
"cheapest",0.08
"compared",0.08
"cost",0.08
"drinks",0.08
"driver",0.08
"especially",0.08
"excellent",0.08
"exchange",0.08
"floor",0.08
"generally",0.08
"hard",0.08
"hotel",0.08
"internet",0.08
"little",0.08
"make",0.08
"may",0.08
"might",0.08
"money",0.08
"next",0.08
"night",0.08
"often",0.08
"per",0.08
"places",0.08
"quality",0.08
"quite",0.08
"rather",0.08
"reasonably",0.08
"room",0.08
"sure",0.08
"taxis",0.08
"usually",0.08
"worth",0.08
"anywhere",0.07
"basic",0.07
"behind",0.07
"buy",0.07
"expats",0.07
"give",0.07
"leave",0.07
"locals",0.07
"much",0.07
"need",0.07
"normal",0.07
"outside",0.07
"pool",0.07
"rooftop",0.07
"serves",0.07
"though",0.07
"trendy",0.07
"wait",0.07
"want",0.07
"without",0.07
