"","default"
"africa",0.69
"de",0.21
"da",0.17
"dos",0.17
"rio",0.14
"brazilian",0.13
"das",0.12
"african",0.11
"australian",0.11
"centro",0.11
"pedro",0.11
"sydney",0.11
"wikipedia",0.11
"colonial",0.1
"grande",0.1
"puerto",0.1
"australia",0.09
"caribbean",0.09
"cruz",0.09
"del",0.09
"el",0.09
"playa",0.09
"santo",0.09
"beach",0.08
"coast",0.08
"coral",0.08
"parque",0.08
"sealed",0.08
"avenida",0.07
"bush",0.07
"carlos",0.07
"costa",0.07
"lodge",0.07
"nacional",0.07
"rainforest",0.07
"santa",0.07
