"","departure"
"arrival",0.15
"ticket",0.13
"visa",0.13
"cost",0.12
"tickets",0.12
"journey",0.11
"passengers",0.11
"price",0.11
"return",0.11
"tax",0.11
"terminal",0.11
"times",0.11
"costs",0.1
"departs",0.1
"depending",0.1
"leave",0.1
"luggage",0.1
"pay",0.1
"payment",0.1
"time",0.1
"atms",0.09
"baggage",0.09
"buy",0.09
"cards",0.09
"cheaper",0.09
"depart",0.09
"ferries",0.09
"ferry",0.09
"note",0.09
"passport",0.09
"prices",0.09
"wait",0.09
"ask",0.08
"bags",0.08
"booking",0.08
"card",0.08
"cash",0.08
"charge",0.08
"check",0.08
"customs",0.08
"daily",0.08
"departures",0.08
"driver",0.08
"drivers",0.08
"excursions",0.08
"expect",0.08
"expensive",0.08
"leaving",0.08
"may",0.08
"money",0.08
"morning",0.08
"must",0.08
"paying",0.08
"per",0.08
"ride",0.08
"seats",0.08
"sometimes",0.08
"takes",0.08
"trip",0.08
"usually",0.08
"advance",0.07
"agents",0.07
"another",0.07
"arrive",0.07
"avoid",0.07
"book",0.07
"credit",0.07
"day",0.07
"exchange",0.07
"extra",0.07
"fixed",0.07
"flight",0.07
"foreign",0.07
"included",0.07
"internet",0.07
"make",0.07
"need",0.07
"night",0.07
"offices",0.07
"sim",0.07
"start",0.07
"sure",0.07
"taxi",0.07
"travel",0.07
"will",0.07
