"","depending"
"prices",0.17
"cost",0.16
"pay",0.16
"vary",0.16
"costs",0.15
"may",0.14
"per",0.14
"price",0.14
"usually",0.14
"will",0.14
"ask",0.13
"driver",0.13
"drivers",0.13
"taxi",0.13
"time",0.13
"expect",0.12
"expensive",0.12
"leave",0.12
"ride",0.12
"season",0.12
"takes",0.12
"trip",0.12
"accept",0.11
"anywhere",0.11
"cheaper",0.11
"fares",0.11
"hours",0.11
"need",0.11
"night",0.11
"often",0.11
"sometimes",0.11
"taxis",0.11
"ticket",0.11
"tickets",0.11
"traffic",0.11
"always",0.1
"another",0.1
"avoid",0.1
"bargaining",0.1
"better",0.1
"buy",0.1
"cards",0.1
"charge",0.1
"cheap",0.1
"check",0.1
"common",0.1
"currency",0.1
"day",0.1
"departure",0.1
"either",0.1
"even",0.1
"exchange",0.1
"extra",0.1
"fare",0.1
"find",0.1
"fixed",0.1
"generally",0.1
"get",0.1
"know",0.1
"leaves",0.1
"locals",0.1
"make",0.1
"might",0.1
"money",0.1
"note",0.1
"number",0.1
"offer",0.1
"option",0.1
"prepared",0.1
"quite",0.1
"sure",0.1
"tend",0.1
"travel",0.1
"trips",0.1
"varies",0.1
"visa",0.1
"wait",0.1
"want",0.1
"'ll",0.09
"advance",0.09
"apply",0.09
"around",0.09
"atms",0.09
"book",0.09
"budget",0.09
"cash",0.09
"change",0.09
"countries",0.09
"different",0.09
"dollars",0.09
"especially",0.09
"fee",0.09
"foreign",0.09
"front",0.09
"give",0.09
"going",0.09
"internet",0.09
"journey",0.09
"least",0.09
"less",0.09
"much",0.09
"operators",0.09
"options",0.09
"passengers",0.09
"person",0.09
"probably",0.09
"require",0.09
"return",0.09
"room",0.09
"security",0.09
"sell",0.09
"slightly",0.09
"staff",0.09
"start",0.09
"stay",0.09
"times",0.09
"try",0.09
"typically",0.09
"unless",0.09
"upon",0.09
"use",0.09
"whether",0.09
"without",0.09
"'re",0.08
"'s",0.08
"able",0.08
"allow",0.08
"although",0.08
"amount",0.08
"anything",0.08
"arrange",0.08
"arrive",0.08
"available",0.08
"bars",0.08
"bit",0.08
"boat",0.08
"booking",0.08
"bring",0.08
"buses",0.08
"buying",0.08
"can",0.08
"card",0.08
"carry",0.08
"charged",0.08
"cheapest",0.08
"choose",0.08
"companies",0.08
"compared",0.08
"consider",0.08
"depart",0.08
"drinks",0.08
"embassy",0.08
"english",0.08
"every",0.08
"feel",0.08
"food",0.08
"foreigners",0.08
"free",0.08
"getting",0.08
"go",0.08
"hail",0.08
"help",0.08
"higher",0.08
"illegal",0.08
"insurance",0.08
"keep",0.08
"leaving",0.08
"likely",0.08
"longer",0.08
"luggage",0.08
"meal",0.08
"morning",0.08
"must",0.08
"negotiate",0.08
"next",0.08
"passport",0.08
"paying",0.08
"places",0.08
"plan",0.08
"police",0.08
"possible",0.08
"prepaid",0.08
"private",0.08
"range",0.08
"rate",0.08
"rates",0.08
"rent",0.08
"safe",0.08
"say",0.08
"sim",0.08
"single",0.08
"take",0.08
"terminal",0.08
"though",0.08
"using",0.08
"way",0.08
"additional",0.07
"advisable",0.07
"air",0.07
"almost",0.07
"aware",0.07
"bikes",0.07
"booked",0.07
"bottle",0.07
"bus",0.07
"careful",0.07
"case",0.07
"clean",0.07
"dishes",0.07
"drink",0.07
"enough",0.07
"good",0.07
"hard",0.07
"hour",0.07
"included",0.07
"late",0.07
"looking",0.07
"normal",0.07
"normally",0.07
"official",0.07
"purchase",0.07
"ranging",0.07
"reliable",0.07
"rooms",0.07
"run",0.07
"shared",0.07
"someone",0.07
"specific",0.07
"standard",0.07
"tipping",0.07
"tourists",0.07
"unlike",0.07
"usd",0.07
