"","designed"
"architect",0.34
"art",0.12
"building",0.12
"built",0.11
"completed",0.11
"style",0.11
"buildings",0.1
"course",0.1
"design",0.1
"original",0.1
"artists",0.09
"arts",0.09
"city's",0.09
"events",0.09
"golf",0.09
"catholic",0.08
"collection",0.08
"dining",0.08
"fine",0.08
"first",0.08
"free",0.08
"gallery",0.08
"hall",0.08
"modern",0.08
"opened",0.08
"selection",0.08
"synagogue",0.08
"trendy",0.08
"windows",0.08
"years",0.08
"artist",0.07
"club",0.07
"frank",0.07
"house",0.07
"interior",0.07
"music",0.07
"open",0.07
"originally",0.07
"square",0.07
"student",0.07
"students",0.07
"theater",0.07
"work",0.07
