"","despite"
"although",0.12
"fact",0.12
"even",0.11
"generally",0.11
"often",0.11
"still",0.11
"common",0.1
"due",0.1
"especially",0.1
"expect",0.1
"may",0.1
"rather",0.1
"relatively",0.1
"usually",0.1
"almost",0.09
"countries",0.09
"crime",0.09
"currency",0.09
"drivers",0.09
"english",0.09
"foreign",0.09
"least",0.09
"likely",0.09
"majority",0.09
"much",0.09
"note",0.09
"numbers",0.09
"official",0.09
"recent",0.09
"serious",0.09
"tend",0.09
"visa",0.09
"'re",0.08
"always",0.08
"apply",0.08
"avoid",0.08
"aware",0.08
"bit",0.08
"cards",0.08
"cause",0.08
"compared",0.08
"european",0.08
"far",0.08
"found",0.08
"given",0.08
"harsh",0.08
"illegal",0.08
"language",0.08
"less",0.08
"parts",0.08
"passport",0.08
"problems",0.08
"quite",0.08
"rarely",0.08
"regions",0.08
"remain",0.08
"republic",0.08
"respect",0.08
"rule",0.08
"smaller",0.08
"sometimes",0.08
"though",0.08
"travellers",0.08
"ubiquitous",0.08
"visas",0.08
"widely",0.08
"without",0.08
"accepted",0.07
"anything",0.07
"card",0.07
"certain",0.07
"citizens",0.07
"difficult",0.07
"embassy",0.07
"ethnic",0.07
"exchange",0.07
"hard",0.07
"heavy",0.07
"issue",0.07
"keep",0.07
"laws",0.07
"led",0.07
"limited",0.07
"make",0.07
"mind",0.07
"money",0.07
"pay",0.07
"perhaps",0.07
"political",0.07
"require",0.07
"routes",0.07
"seem",0.07
"served",0.07
"similar",0.07
"since",0.07
"tipping",0.07
"uncommon",0.07
"unless",0.07
"virtually",0.07
