"","di"
"della",0.42
"piazza",0.39
"dei",0.35
"del",0.21
"il",0.21
"rome",0.2
"san",0.2
"roma",0.19
"villa",0.19
"italy",0.17
"maria",0.17
"monte",0.16
"olive",0.16
"italian",0.13
"medieval",0.13
"romanesque",0.13
"ristorante",0.12
"roman",0.12
"basilica",0.11
"frescoes",0.11
"via",0.11
"wine",0.11
"wines",0.11
"splendid",0.1
"al",0.09
"province",0.09
"ancient",0.08
"baroque",0.08
"bedrooms",0.08
"elegant",0.08
"farmhouse",0.08
"painting",0.08
"romans",0.08
"santa",0.08
"walls",0.08
"pasta",0.07
"porto",0.07
